Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,ENDEAVOUR GROUP LTD.,EDV AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TREASURY WINE ESTATES LTD.,TWE AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,EVOLUTION MINING LTD.,EVN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,RTX CORP.,RTX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"PDD HOLDINGS, INC.",PDD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"YUM! BRANDS, INC.",YUM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"PEPSICO, INC.",PEP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NESTLE SA,NESN SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,RAMSAY HEALTH CARE LTD.,RHC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,VENTIA SERVICES GROUP PTY. LTD.,VNT AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PEXA GROUP LTD.,PXA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,QUBE HOLDINGS LTD.,QUB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TENCENT HOLDINGS LTD.,700 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,ALCON AG,ALC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"CATERPILLAR, INC.",CAT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"ABBVIE, INC.",ABBV US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"ADOBE, INC.",ADBE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COMPASS GROUP PLC,CPG LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,PINNACLE INVESTMENT MANAGEMENT GROUP LTD.,PNI AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ILUKA RESOURCES LTD.,ILU AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"CLOUDFLARE, INC.",NET US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,AMPOL LTD.,ALD AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,DASSAULT SYSTEMES SE,DSY FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",8316 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,"BIO-RAD LABORATORIES, INC.",BIO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"SHOPIFY, INC.",SHOP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,STERIS PLC,STE US,BB Ticker,United States,,,
