Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
HC Balanced - Class A Option,Listed Equity,MSCI INC-A COM STK USD0.01 CLS'A',B2972D2,SEDOL,United States,US,MSCI,
HC Balanced - Class A Option,Listed Equity,MTN GROUP LTD ZAR0.0001,6563206,SEDOL,South Africa,SJ,MTN,
HC Balanced - Class A Option,Listed Equity,MTR CORP,6290054,SEDOL,Hong Kong,HK,66,
HC Balanced - Class A Option,Listed Equity,MTU AERO ENGINES AG,B09DHL9,SEDOL,Germany,GR,MTX,
HC Balanced - Class A Option,Listed Equity,MUENCHENER RUECKVER AG-REG,5294121,SEDOL,Germany,GR,MUV2,
HC Balanced - Class A Option,Listed Equity,MULTIPLAN EMPREENDIMENTOS COM NPV,B23DZG0,SEDOL,Brazil,BZ,MULT3,
HC Balanced - Class A Option,Listed Equity,MURATA MFG CO LTD,6610403,SEDOL,Japan,JP,6981,
HC Balanced - Class A Option,Listed Equity,MUYUAN FOODSTUFF CO LTD-A,BD5CJX7,SEDOL,China,C2,002714,
HC Balanced - Class A Option,Listed Equity,MYSTATE LTD NPV,B41XHK4,SEDOL,Australia,AU,MYS,
HC Balanced - Class A Option,Listed Equity,NANOSONICS LTD NPV,B1WF979,SEDOL,Australia,AU,NAN,
HC Balanced - Class A Option,Listed Equity,NANYANG TOPSEC TECHNOLOGIE-A,BD73L76,SEDOL,China,C2,002212,
HC Balanced - Class A Option,Listed Equity,NASDAQ INC,2965107,SEDOL,United States,US,NDAQ,
HC Balanced - Class A Option,Listed Equity,NASPERS LTD-N SHS,BN0VX82,SEDOL,South Africa,SJ,NPN,
HC Balanced - Class A Option,Listed Equity,NATIONAL AUSTRALIA BANK LTD,6624608,SEDOL,Australia,AU,NAB,
HC Balanced - Class A Option,Listed Equity,NATIONAL BANK OF CANADA COM,2077303,SEDOL,Canada,CN,NA,
HC Balanced - Class A Option,Listed Equity,NATIONAL BANK OF GREECE ETE,BG087C6,SEDOL,Greece,GA,ETE,
HC Balanced - Class A Option,Listed Equity,NATIONAL GRID PLC NG/LN,BDR05C0,SEDOL,United Kingdom,LN,NG/,
HC Balanced - Class A Option,Listed Equity,NATIONAL STORAGE REIT REIT UNITS,BGP6479,SEDOL,Australia,AU,NSR,
HC Balanced - Class A Option,Listed Equity,NATWEST GROUP PLC,BM8PJY7,SEDOL,United Kingdom,LN,NWG,
HC Balanced - Class A Option,Listed Equity,NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,SEDOL,China,C2,002371,
HC Balanced - Class A Option,Listed Equity,NAVER CORP,6560393,SEDOL,South Korea,KS,035420,
HC Balanced - Class A Option,Listed Equity,NEC CORP SHS,6640400,SEDOL,Japan,JP,6701,
HC Balanced - Class A Option,Listed Equity,NEMETSCHEK SE,5633962,SEDOL,Germany,GR,NEM,
HC Balanced - Class A Option,Listed Equity,NESTE OIL OYJ NPV,B06YV46,SEDOL,Finland,FH,NESTE,
HC Balanced - Class A Option,Listed Equity,NESTLE S A SHS,7123870,SEDOL,Switzerland,SW,NESN,
HC Balanced - Class A Option,Listed Equity,NETAPP INC,2630643,SEDOL,United States,US,NTAP,
HC Balanced - Class A Option,Listed Equity,NETEASE INC,BM93SF4,SEDOL,Hong Kong,HK,9999,
HC Balanced - Class A Option,Listed Equity,NETFLIX INC COM USD0.001,2857817,SEDOL,United States,US,NFLX,
HC Balanced - Class A Option,Listed Equity,NETWEALTH GROUP LTD NWL,BF52PL1,SEDOL,Australia,AU,NWL,
HC Balanced - Class A Option,Listed Equity,NEUREN PHARMACEUTICALS LTD NEU,B04LVF0,SEDOL,Australia,AU,NEU,
HC Balanced - Class A Option,Listed Equity,NEUROCRINE BIOSCIENCES INC COM USD0.001,2623911,SEDOL,United States,US,NBIX,
HC Balanced - Class A Option,Listed Equity,NEW CHINA LIFE INSURANCE C-A,BP3R3F8,SEDOL,China,C1,601336,
HC Balanced - Class A Option,Listed Equity,NEW HOPE CORP LTD,6681960,SEDOL,Australia,AU,NHC,
HC Balanced - Class A Option,Listed Equity,NEW WORLD DEVELOPMENT,BM94GQ4,SEDOL,Hong Kong,HK,17,
HC Balanced - Class A Option,Listed Equity,NEWAY VALVE SUZHOU CO LTD-A,BS7K3W1,SEDOL,China,C1,603699,
HC Balanced - Class A Option,Listed Equity,NEWMONT  CORP,2636607,SEDOL,United States,US,NEM,
HC Balanced - Class A Option,Listed Equity,NEWMONT CORP,BJYKTV2,SEDOL,Canada,CN,NGT,
HC Balanced - Class A Option,Listed Equity,NEWMONT CORP-CDI,BRDVMB3,SEDOL,Australia,AU,NEM,
HC Balanced - Class A Option,Listed Equity,NEWS CORP - CLASS B- CDI,BD7SZP7,SEDOL,Australia,AU,NWS,
HC Balanced - Class A Option,Listed Equity,NEWS CORP/NEW-CL A-W/I NEWS CORP/NEW-CL,BBGVT40,SEDOL,United States,US,NWSA,
HC Balanced - Class A Option,Listed Equity,NEXGEN ENERGY LTD-CDR,BLR8K36,SEDOL,Australia,AU,NXG,
HC Balanced - Class A Option,Listed Equity,NEXI SPA NEXI,BJ1F880,SEDOL,Italy,IM,NEXI,
HC Balanced - Class A Option,Listed Equity,NEXON CO LTD NPV,B63QM77,SEDOL,Japan,JP,3659,
HC Balanced - Class A Option,Listed Equity,NEXT PLC SHS,3208986,SEDOL,United Kingdom,LN,NXT,
HC Balanced - Class A Option,Listed Equity,NEXTDC LTD NPV,B5LMKP4,SEDOL,Australia,AU,NXT,
HC Balanced - Class A Option,Listed Equity,NEXTERA ENERGY INC,2328915,SEDOL,United States,US,NEE,
HC Balanced - Class A Option,Listed Equity,NIB HOLDINGS LTD NPV,B28ZM60,SEDOL,Australia,AU,NHF,
HC Balanced - Class A Option,Listed Equity,NIBE INDUSTRIER AB-B SHS,BN7BZM3,SEDOL,Sweden,SS,NIBEB,
HC Balanced - Class A Option,Listed Equity,NICE LTD,6647133,SEDOL,Israel,IT,NICE,
HC Balanced - Class A Option,Listed Equity,NICK SCALI LTD NPV,B00VZV8,SEDOL,Australia,AU,NCK,
HC Balanced - Class A Option,Listed Equity,NICKEL INDUSTRIES LTD,BZ7NDP2,SEDOL,Australia,AU,NIC,
HC Balanced - Class A Option,Listed Equity,NIDEC CORP,6640682,SEDOL,Japan,JP,6594,
HC Balanced - Class A Option,Listed Equity,NIHON KOHDEN CORP NPV,6639970,SEDOL,Japan,JP,6849,
HC Balanced - Class A Option,Listed Equity,NIKE INC CL B,2640147,SEDOL,United States,US,NKE,
HC Balanced - Class A Option,Listed Equity,NINE ENTERTAINMENT CO HOLDIN NPV,BGQV183,SEDOL,Australia,AU,NEC,
HC Balanced - Class A Option,Listed Equity,NINESTAR CORP-A,BD5M2G1,SEDOL,China,C2,002180,
HC Balanced - Class A Option,Listed Equity,NINGBO SHANSHAN CO LTD-A,BP3RF63,SEDOL,China,C1,600884,
HC Balanced - Class A Option,Listed Equity,NINTENDO CORP LTD,6639550,SEDOL,Japan,JP,7974,
HC Balanced - Class A Option,Listed Equity,NIPPON BUILDING FUND INC REIT,6396800,SEDOL,Japan,JP,8951,
HC Balanced - Class A Option,Listed Equity,NIPPON PAINT HOLDINGS CO LTD,6640507,SEDOL,Japan,JP,4612,
HC Balanced - Class A Option,Listed Equity,NIPPON SANSO HOLDINGS CORP,6640541,SEDOL,Japan,JP,4091,
HC Balanced - Class A Option,Listed Equity,NIPPON STEEL CORP,6642569,SEDOL,Japan,JP,5401,
HC Balanced - Class A Option,Listed Equity,NIPPON TELEGRAPH & TELEPHONE ORD,6641373,SEDOL,Japan,JP,9432,
HC Balanced - Class A Option,Listed Equity,NIPPON TELEVISION HOLDINGS INC,6644060,SEDOL,Japan,JP,9404,
HC Balanced - Class A Option,Listed Equity,NIPPON YUSEN KK,6643960,SEDOL,Japan,JP,9101,
HC Balanced - Class A Option,Listed Equity,NISOURCE INC COM,2645409,SEDOL,United States,US,NI,
HC Balanced - Class A Option,Listed Equity,NISSAN MOTOR CO LTD,6642860,SEDOL,Japan,JP,7201,
HC Balanced - Class A Option,Listed Equity,NISSIN FOODS HOLDINGS CO LTD,6641760,SEDOL,Japan,JP,2897,
HC Balanced - Class A Option,Listed Equity,NITORI CO LTD,6644800,SEDOL,Japan,JP,9843,
HC Balanced - Class A Option,Listed Equity,NITTO DENKO CORP,6641801,SEDOL,Japan,JP,6988,
HC Balanced - Class A Option,Listed Equity,NMC HEALTH PLC ORD GBP0.10,GB00B7FC0762,ISIN,,,,
HC Balanced - Class A Option,Listed Equity,NN GROUP NV - W/I NN GROUP NV - W/I,BNG8PQ9,SEDOL,Netherlands,NA,NN,
HC Balanced - Class A Option,Listed Equity,NOBLE CORP PLC,BN2QTL0,SEDOL,United States,US,NE,
HC Balanced - Class A Option,Listed Equity,NOKIA OYJ,5902941,SEDOL,Finland,FH,NOKIA,
HC Balanced - Class A Option,Listed Equity,NOMAD FOODS LTD NOMD,BQFJGK5,SEDOL,United States,US,NOMD,
HC Balanced - Class A Option,Listed Equity,NOMURA HOLDINGS INC SHS,6643108,SEDOL,Japan,JP,8604,
HC Balanced - Class A Option,Listed Equity,NOMURA RESEARCH INSTITUTE,6390921,SEDOL,Japan,JP,4307,
HC Balanced - Class A Option,Listed Equity,NORDEA BANK ABP NDA,BFM0SV9,SEDOL,Finland,FH,NDA,
HC Balanced - Class A Option,Listed Equity,NORDSON CORP COM NPV,2641838,SEDOL,United States,US,NDSN,
HC Balanced - Class A Option,Listed Equity,NORFOLK SOUTHERN CORP COM,2641894,SEDOL,United States,US,NSC,
HC Balanced - Class A Option,Listed Equity,NORSK HYDRO ASA,B11HK39,SEDOL,Belgium,NO,NHY,
HC Balanced - Class A Option,Listed Equity,NORTHAM PLATINUM HOLDINGS LT,BMZ1NS0,SEDOL,South Africa,SJ,NPH,
HC Balanced - Class A Option,Listed Equity,Northcape Capital Australia,MXP320321310,ISIN,Mexico,,,FEMSAUBD.MX
HC Balanced - Class A Option,Listed Equity,NORTHERN STAR RESOURCES LTD,6717456,SEDOL,Australia,AU,NST,
HC Balanced - Class A Option,Listed Equity,NORTHERN TR CORP COM,2648668,SEDOL,United States,US,NTRS,
HC Balanced - Class A Option,Listed Equity,NOVARTIS AG-REG SHS,7103065,SEDOL,Switzerland,SW,NOVN,
HC Balanced - Class A Option,Listed Equity,NOVATEK OAO RUB0.1(USD),B19MY34,SEDOL,Russia,RU,NVTK,
HC Balanced - Class A Option,Listed Equity,NOVO NORDISK A/S-B,BP6KMJ1,SEDOL,Denmark,DC,NOVOB,
HC Balanced - Class A Option,Listed Equity,NOVONESIS (NOVOZYMES) B,B798FW0,SEDOL,Denmark,DC,NSISB,
HC Balanced - Class A Option,Listed Equity,NOVONIX LTD,BYZ6CM6,SEDOL,Australia,AU,NVX,
HC Balanced - Class A Option,Listed Equity,NRG ENERGY INC COM USD0.01,2212922,SEDOL,United States,US,NRG,
HC Balanced - Class A Option,Listed Equity,NRW HOLDINGS LTD,B23XW70,SEDOL,Australia,AU,NWH,
HC Balanced - Class A Option,Listed Equity,NTT DATA GROUP CORP,6125639,SEDOL,Japan,JP,9613,
HC Balanced - Class A Option,Listed Equity,NU HOLDINGS LTD/CAYMAN ISL-A,BN6NP19,SEDOL,United States,US,NU,
HC Balanced - Class A Option,Listed Equity,NUCOR CORP COM,2651086,SEDOL,United States,US,NUE,
HC Balanced - Class A Option,Listed Equity,NUFARM LIMITED NUFARM LIMITED,6335331,SEDOL,Australia,AU,NUF,
HC Balanced - Class A Option,Listed Equity,NUIX LTD,BMW7P63,SEDOL,Australia,AU,NXL,
HC Balanced - Class A Option,Listed Equity,NUTANIX INC - A NTNX,BYQBFT8,SEDOL,United States,US,NTNX,
HC Balanced - Class A Option,Listed Equity,NUTRIEN LTD,BDRJLN0,SEDOL,Canada,CN,NTR,
HC Balanced - Class A Option,Listed Equity,NVIDIA CORP,2379504,SEDOL,United States,US,NVDA,
HC Balanced - Class A Option,Listed Equity,NVR INC,2637785,SEDOL,United States,US,NVR,
HC Balanced - Class A Option,Listed Equity,NXP SEMICONDUCTORS NV,B505PN7,SEDOL,United States,US,NXPI,
HC Balanced - Class A Option,Listed Equity,O.S.K. HOLDINGS BHD SHS,6655040,SEDOL,Malaysia,MK,OSK,
HC Balanced - Class A Option,Listed Equity,OAO GAZPROM-SPON ADR ADR REP 4 ORD RUB5,5140989,SEDOL,,,,
HC Balanced - Class A Option,Listed Equity,OBAYASHI CORP Y50,6656407,SEDOL,Japan,JP,1802,
HC Balanced - Class A Option,Listed Equity,OBIC CO LTD,6136749,SEDOL,Japan,JP,4684,
HC Balanced - Class A Option,Listed Equity,OBJECTIVE CORPORATION LTD OCL,6283407,SEDOL,Australia,AU,OCL,
HC Balanced - Class A Option,Listed Equity,OCCIDENTAL PETE CORP D COM,2655408,SEDOL,United States,US,OXY,
HC Balanced - Class A Option,Listed Equity,OCEANPAL INC,BRJVJ16,SEDOL,,,,
HC Balanced - Class A Option,Listed Equity,OCEANPAL INC,MHY6430L2029,ISIN,United States,,,OP
HC Balanced - Class A Option,Listed Equity,ODFJELL DRILLING LTD ODL,BDX87W2,SEDOL,Belgium,NO,ODL,
HC Balanced - Class A Option,Listed Equity,ODONTOPREV S.A. COM NPV,B1H6R62,SEDOL,Brazil,BZ,ODPV3,
HC Balanced - Class A Option,Listed Equity,OFFSHORE OIL ENGINEERING-A,BP3R455,SEDOL,China,C1,600583,
HC Balanced - Class A Option,Listed Equity,OFX GROUP LTD,BFG1Q58,SEDOL,Australia,AU,OFX,
HC Balanced - Class A Option,Listed Equity,OKAMOTO INDUSTRIES INC NPV,6657767,SEDOL,Japan,JP,5122,
HC Balanced - Class A Option,Listed Equity,OKTA INC OKTA,BDFZSP1,SEDOL,United States,US,OKTA,
HC Balanced - Class A Option,Listed Equity,OLD DOMIN FRGHT USD0.1,2656423,SEDOL,United States,US,ODFL,
HC Balanced - Class A Option,Listed Equity,OLYMPUS CORP,6658801,SEDOL,Japan,JP,7733,
HC Balanced - Class A Option,Listed Equity,OMNI BRIDGEWAY LTD-PLACEMENT,BM95XH7,SEDOL,Australia,AU,OBL,
HC Balanced - Class A Option,Listed Equity,OMNICOM GROUP INC COM,2279303,SEDOL,United States,US,OMC,
HC Balanced - Class A Option,Listed Equity,OMRON CORPORATION,6659428,SEDOL,Japan,JP,6645,
HC Balanced - Class A Option,Listed Equity,OMV AG,4651459,SEDOL,Austria,AV,OMV,
HC Balanced - Class A Option,Listed Equity,ON SEMICONDUCTOR,2583576,SEDOL,United States,US,ON,
HC Balanced - Class A Option,Listed Equity,ONEOK INC COM,2130109,SEDOL,United States,US,OKE,
HC Balanced - Class A Option,Listed Equity,ONEX CORP SUB VTG,2659518,SEDOL,Canada,CN,ONEX,
HC Balanced - Class A Option,Listed Equity,ONO PHARMACEUTICAL CO LTD,6660107,SEDOL,Japan,JP,4528,
HC Balanced - Class A Option,Listed Equity,OOH!MEDIA LTD OML,BSXN8D0,SEDOL,Australia,AU,OML,
HC Balanced - Class A Option,Listed Equity,OPEN TEXT CORP COM,2260824,SEDOL,Canada,CN,OTEX,
HC Balanced - Class A Option,Listed Equity,OPEN UP GROUP INC,B1XC021,SEDOL,Japan,JP,2154,
HC Balanced - Class A Option,Listed Equity,OPTHEA LTD OPT,BYQ3YX1,SEDOL,Australia,AU,OPT,
HC Balanced - Class A Option,Listed Equity,OPTIMA BANK SA,BL571C1,SEDOL,Greece,GA,OPTIMA,
HC Balanced - Class A Option,Listed Equity,ORA BANDA MINING LTD OBM,BKDX544,SEDOL,Australia,AU,OBM,
HC Balanced - Class A Option,Listed Equity,ORACLE CORP COM,2661568,SEDOL,United States,US,ORCL,
HC Balanced - Class A Option,Listed Equity,ORACLE CORPORATION JAPAN ORACLE CORPORAT,6141680,SEDOL,Japan,JP,4716,
HC Balanced - Class A Option,Listed Equity,ORANGE,5176177,SEDOL,France,FP,ORA,
HC Balanced - Class A Option,Listed Equity,OREILLY AUTO NEW,B65LWX6,SEDOL,United States,US,ORLY,
HC Balanced - Class A Option,Listed Equity,ORICA LTD,6458001,SEDOL,Australia,AU,ORI,
HC Balanced - Class A Option,Listed Equity,ORIENTAL LAND CO LTD,6648891,SEDOL,Japan,JP,4661,
HC Balanced - Class A Option,Listed Equity,ORIGIN ENERGY LTD,6214861,SEDOL,Australia,AU,ORG,
HC Balanced - Class A Option,Listed Equity,ORION CORP SER'B'NPV,B17NY40,SEDOL,Finland,FH,ORNBV,
HC Balanced - Class A Option,Listed Equity,ORIX CORP ORD,6661144,SEDOL,Japan,JP,8591,
HC Balanced - Class A Option,Listed Equity,ORKLA BORREGARD AS ORD CL A,B1VQF42,SEDOL,Belgium,NO,ORK,
