Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,"GILEAD SCIENCES, INC.",GILD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SANDFIRE RESOURCES LTD.,SFR AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ORACLE CORP.,ORCL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CHARLES SCHWAB CORP.,SCHW US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,PROGRESSIVE CORP.,PGR US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"TEXAS INSTRUMENTS, INC.",TXN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"HCA HEALTHCARE, INC.",HCA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ING GROEP NV,INGA NA,BB Ticker,Netherlands,,,
Balanced Growth,LISTED EQUITY,ABB LTD.,ABBN SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,A2 MILK CO. LTD.,A2M AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,RTX CORP.,RTX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"LIFE360, INC.",360 AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ASTRAZENECA PLC,AZN LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,"SHOPIFY, INC.",SHOP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,VAULT MINERALS LTD.,VAU AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SPOTIFY TECHNOLOGY SA,SPOT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"TYSON FOODS, INC.",TSN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DSM-FIRMENICH AG,DSFIR NA,BB Ticker,Netherlands,,,
Balanced Growth,LISTED EQUITY,MONADELPHOUS GROUP LTD.,MND AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,GENESIS MINERALS LTD.,GMD AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"FREEPORT-MCMORAN, INC.",FCX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,PERFORMANCE FOOD GROUP CO.,PFGC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,WEBJET LTD.,WEB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,LONDON STOCK EXCHANGE GROUP PLC,LSEG LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,ROCHE HOLDING AG,ROG SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,EATON CORP. PLC,ETN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CONTEMPORARY AMPEREX TECHNOLOGY CO. LTD.,300750 C2,BB Ticker,China,,,
Balanced Growth,LISTED EQUITY,CAPRICORN METALS LTD.,CMM AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,MEDIBANK PVT LTD.,MPL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,LAM RESEARCH CORP.,LRCX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DIAGEO PLC,DGE LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,"AT&T, INC.",T US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ANTA SPORTS PRODUCTS LTD.,2020 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,"CATERPILLAR, INC.",CAT US,BB Ticker,United States,,,
