Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,Listed equity,STANDARD BANK GROUP,B030GJ7,SEDOL,South Africa,SJ,SBK,
Balanced Growth,Listed equity,STANDARD CHARTERED PLC USD,408284,SEDOL,United Kingdom,LN,STAN,
Balanced Growth,Listed equity,STANDARD CHARTERED PLC USD,6558484,SEDOL,Hong Kong,HK,2888,
Balanced Growth,Listed equity,STANMORE RESOURCES LTD,B4KDPZ6,SEDOL,Australia,AU,SMR,
Balanced Growth,Listed equity,STAR BULK CARRIERS CORP COMMON STOCK USD 0.01,BD6NYK1,SEDOL,United States,US,SBLK,
Balanced Growth,Listed equity,STATE BANK OF INDIA,BSQCB24,SEDOL,India,IN,SBIN,
Balanced Growth,Listed equity,STATE STREET CORP,2842040,SEDOL,United States,US,STT,
Balanced Growth,Listed equity,STEADFAST GROUP LIMITED,BCT5FD7,SEDOL,Australia,AU,SDF,
Balanced Growth,Listed equity,STEALTHGAS INC COMMON STOCK USD 0.01,B0LX494,SEDOL,United States,US,GASS,
Balanced Growth,Listed equity,STEEL AUTHORITY OF INDIA LTD COMMON STOCK INR 10,6121499,SEDOL,India,IN,SAIL,
Balanced Growth,Listed equity,STEEL DYNAMICS,2849472,SEDOL,United States,US,STLD,
Balanced Growth,Listed equity,STELLANTIS,BMD8KX7,SEDOL,Italy,IM,STLAM,
Balanced Growth,Listed equity,STRABAG SE COMMON STOCK EUR 0,B28DT41,SEDOL,Austria,AV,STR,
Balanced Growth,Listed equity,STRANDLINE RESOURCES LTD COMMON STOCK AUD 0,BTD8GM7,SEDOL,Australia,AT,STA,
Balanced Growth,Listed equity,STRAUMANN HOLDING AG COMMON STOCK CHF 0.01,BQ7ZV06,SEDOL,Switzerland,SW,STMN,
Balanced Growth,Listed equity,STRIKE ENERGY LIMITED,B01NQF4,SEDOL,Australia,AU,STX,
Balanced Growth,Listed equity,SUBARU CORPORATION,6356406,SEDOL,Japan,JP,7270,
Balanced Growth,Listed equity,SUMITOMO ELECTRIC IND,6858708,SEDOL,Japan,JP,5802,
Balanced Growth,Listed equity,SUMITOMO METAL MINING CO,6858849,SEDOL,Japan,JP,5713,
Balanced Growth,Listed equity,SUMITOMO MITSUI FINANCIAL GROUP INC ADR USD,2267513,SEDOL,United States,US,SMFG,
Balanced Growth,Listed equity,SUMITOMO MITSUI FINL GRP,6563024,SEDOL,Japan,JP,8316,
Balanced Growth,Listed equity,SUMITOMO MITSUI TRUST,6431897,SEDOL,Japan,JP,8309,
Balanced Growth,Listed equity,SUMITOMO RUBBER IND,6858991,SEDOL,Japan,JP,5110,
Balanced Growth,Listed equity,SUN ART RETAIL GROUP,B3MPN59,SEDOL,Hong Kong,HK,6808,
Balanced Growth,Listed equity,SUN HUNG KAI PROPERTIES,6859927,SEDOL,Hong Kong,HK,16,
Balanced Growth,Listed equity,SUN PHARMACEUTICAL IND,6582483,SEDOL,India,IN,SUNP,
Balanced Growth,Listed equity,SUNAC CHINA HOLDINGS,B4XRPN3,SEDOL,Hong Kong,HK,1918,
Balanced Growth,Listed equity,SUNCOR ENERGY,B3NB1P2,SEDOL,Canada,CN,SU,
Balanced Growth,Listed equity,SUNCOR ENERGY INC COMMON STOCK CAD 0,B3NB0P5,SEDOL,United States,US,SU,
Balanced Growth,Listed equity,SUNCORP GROUP,6585084,SEDOL,Australia,AU,SUN,
Balanced Growth,Listed equity,SUNDRUG CO,6817895,SEDOL,Japan,JP,9989,
Balanced Growth,Listed equity,SUNSHINE INSURANCE GROUP CO LTD COMMON STOCK HKD 1,BPCS4V5,SEDOL,Hong Kong,HK,6963,
Balanced Growth,Listed equity,SUNTORY BEVERAGE & FOOD,BBD7Q84,SEDOL,Japan,JP,2587,
Balanced Growth,Listed equity,SUPER RETAIL GROUP LTD,B01C7R0,SEDOL,Australia,AU,SUL,
Balanced Growth,Listed equity,SUPERLOOP LIMITED,BYPC6V1,SEDOL,Australia,AU,SLC,
Balanced Growth,Listed equity,SUZANO ON,B02GKC7,SEDOL,Brazil,BZ,SUZB3,
Balanced Growth,Listed equity,SUZUKI MOTOR CORP,6865504,SEDOL,Japan,JP,7269,
Balanced Growth,Listed equity,SVENSKA HANDELSBANKEN AB ADR USD,B3F2FG2,SEDOL,United States,US,SVNLY,
Balanced Growth,Listed equity,SVENSKA HANDELSBK A,BXDZ9Q1,SEDOL,Sweden,SS,SHBA,
Balanced Growth,Listed equity,SVITZER GROUP A/S COMMON STOCK DKK 10,BPXW7F1,SEDOL,,,,
Balanced Growth,Listed equity,SWATCH GROUP NAM,7184736,SEDOL,Switzerland,SW,UHRN,
Balanced Growth,Listed equity,SWEDBANK,4846523,SEDOL,Sweden,SS,SWEDA,
Balanced Growth,Listed equity,SWISS LIFE HOLDING,7437805,SEDOL,Switzerland,SW,SLHN,
Balanced Growth,Listed equity,SWISS RE,B545MG5,SEDOL,Switzerland,SW,SREN,
Balanced Growth,Listed equity,SYDBANK AS COMMON STOCK DKK 10,B06JSP1,SEDOL,Denmark,DC,SYDB,
Balanced Growth,Listed equity,SYMBOTIC INC COMMON STOCK USD 0.0001,BPG82M8,SEDOL,United States,US,SYM,
Balanced Growth,Listed equity,SYNCHRONY FINANCIAL,BP96PS6,SEDOL,United States,US,SYF,
Balanced Growth,Listed equity,SYRAH RESOURCES LIMITED,B23HV20,SEDOL,Australia,AU,SYR,
Balanced Growth,Listed equity,SYSCO CORP,2868165,SEDOL,United States,US,SYY,
Balanced Growth,Listed equity,T&D HOLDINGS,6744294,SEDOL,Japan,JP,8795,
Balanced Growth,Listed equity,T-MOBILE US,B94Q9V0,SEDOL,United States,US,TMUS,
Balanced Growth,Listed equity,TABCORP HOLDINGS,6873262,SEDOL,Australia,AU,TAH,
Balanced Growth,Listed equity,TAG Immobilien AG,5735631,SEDOL,Germany,GR,TEG,
Balanced Growth,Listed equity,TAIWAN SAKURA CORP COMMON STOCK TWD 10,6874027,SEDOL,Taiwan,TT (Taiwan Stock Exchange),9911,
Balanced Growth,Listed equity,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR USD,2113382,SEDOL,United States,US,TSM,
Balanced Growth,Listed equity,TAIWAN SEMICONDUCTOR MFG,6889106,SEDOL,Taiwan,TT (Taiwan Stock Exchange),2330,
Balanced Growth,Listed equity,TAKEDA PHARMACEUTICAL,6870445,SEDOL,Japan,JP,4502,
Balanced Growth,Listed equity,TAL EDUCATION GROUP ADR,B4MGD82,SEDOL,United States,US,TAL,
Balanced Growth,Listed equity,TALABAT HOLDING PLC COMMON STOCK AED 0.04,BRPSDQ4,SEDOL,United Arab Emirates,UH,TALABAT,
Balanced Growth,Listed equity,TANABE ENGINEERING CORP COMMON STOCK JPY,6899956,SEDOL,Japan,JP,1828,
Balanced Growth,Listed equity,TARGA RESOURCES CORP,B55PZY3,SEDOL,United States,US,TRGP,
Balanced Growth,Listed equity,TATA CONSULTANCY,B01NPJ1,SEDOL,India,IN,TCS,
Balanced Growth,Listed equity,TATA MOTORS,B611LV1,SEDOL,India,IN,TTMT,
Balanced Growth,Listed equity,TAURON POLSKA ENERGIA SA COMMON STOCK PLN 5,B5P7L41,SEDOL,Poland,PW,TPE,
Balanced Growth,Listed equity,TE CONNECTIVITY PLC COMMON STOCK USD 0.01,BRC3N84,SEDOL,United States,US,TEL,
Balanced Growth,Listed equity,TEBIAN ELEC APP A (HK-C),BP3R4H7,SEDOL,China,C1,600089,
Balanced Growth,Listed equity,TECH MAHINDRA,BWFGD63,SEDOL,India,IN,TECHM,
Balanced Growth,Listed equity,TECHNOLOGY ONE LTD,6302410,SEDOL,Australia,AU,TNE,
Balanced Growth,Listed equity,TECHTRONIC INDUSTRIES CO,B0190C7,SEDOL,Hong Kong,HK,669,
Balanced Growth,Listed equity,TECK RESOURCES B,2879327,SEDOL,Canada,CN,TECK/B,
Balanced Growth,Listed equity,TEIKOKU TSUSHIN KOGYO CO LTD COMMON STOCK JPY,6881027,SEDOL,Japan,JP,6763,
Balanced Growth,Listed equity,TEL AVIV STOCK EXCHANGE LTD COMMON STOCK ILS,BK5HCP4,SEDOL,Israel,IT,TASE,
Balanced Growth,Listed equity,TELE2 B,B97C733,SEDOL,Sweden,SS,TEL2B,
Balanced Growth,Listed equity,TELEF BRASIL ON (NEW),B6XFBX3,SEDOL,Brazil,BZ,VIVT3,
Balanced Growth,Listed equity,TELEFONICA BRASIL SA ADR USD,BMDB207,SEDOL,United States,US,VIV,
Balanced Growth,Listed equity,TELENOR,4732495,SEDOL,Belgium,NO,TEL,
Balanced Growth,Listed equity,TELEPERFORMANCE,5999330,SEDOL,France,FP,TEP,
