Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,ROYAL BANK OF CANADA,RY CN,BB Ticker,Canada,,,
Balanced Growth,LISTED EQUITY,TOKYO ELECTRON LTD.,8035 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,KLA CORP.,KLAC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,STRYKER CORP.,SYK US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,MARUTI SUZUKI INDIA LTD.,MSIL IN,BB Ticker,India,,,
Balanced Growth,LISTED EQUITY,CHORUS LTD.,CNU AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TELIX PHARMACEUTICALS LTD.,TLX AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,GUZMAN Y GOMEZ LTD.,GYG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,FUJITSU LTD.,6702 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,FOMENTO ECONOMICO MEXICANO SAB DE CV,FEMSAUBD MM,BB Ticker,Mexico,,,
Balanced Growth,LISTED EQUITY,IMDEX LTD.,IMD AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ENBRIDGE, INC.",ENB CN,BB Ticker,Canada,,,
Balanced Growth,LISTED EQUITY,"WILLIAMS COS., INC.",WMB US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,HARVEY NORMAN HOLDINGS LTD.,HVN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"AMERICAN ELECTRIC POWER CO., INC.",AEP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP.,WAB US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,KELSIAN GROUP LTD.,KLS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,STEADFAST GROUP LTD.,SDF AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,DANONE SA,BN FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,"ADVANCED MICRO DEVICES, INC.",AMD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ALS LTD.,ALQ AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PARKER-HANNIFIN CORP.,PH US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,INTESA SANPAOLO SPA,ISP IM,BB Ticker,Italy,,,
Balanced Growth,LISTED EQUITY,"WORKDAY, INC.",WDAY US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,3M CO.,MMM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ALCON AG,ALC SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,LONDON STOCK EXCHANGE GROUP PLC,LSEG LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,"ECOLAB, INC.",ECL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SIEMENS ENERGY AG,ENR GR,BB Ticker,Germany,,,
Balanced Growth,LISTED EQUITY,ALLSTATE CORP.,ALL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"FORTINET, INC.",FTNT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"CROWDSTRIKE HOLDINGS, INC.",CRWD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,INSIGNIA FINANCIAL LTD.,IFL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NEWS CORP.,NWS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PEXA GROUP LTD.,PXA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,GSK PLC,GSK LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,CHALLENGER LTD.,CGF AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ALLIANZ SE,ALV GR,BB Ticker,Germany,,,
Balanced Growth,LISTED EQUITY,PROGRESSIVE CORP.,PGR US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,APA GROUP,APA AU,BB Ticker,Australia,,,
