Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,Listed Equity,Atlas Copco AB,SE0017486897,ISIN,United Kingdom,,,0XXV.IL
Balanced Growth,Listed Equity,Atlassian Corp,US0494681010,ISIN,United States,,,TEAM
Balanced Growth,Listed Equity,Atmos Energy Corp,US0495601058,ISIN,United States,,,ATO
Balanced Growth,Listed Equity,Auckland International Airport Ltd,NZAIAE0002S6,ISIN,New Zealand,,,AIA.NZ
Balanced Growth,Listed Equity,Audinate Group Ltd,AU000000AD88,ISIN,Australia,,,AD8.AX
Balanced Growth,Listed Equity,Aurelia Metals Ltd,AU000000AMI1,ISIN,Australia,,,AMI.AX
Balanced Growth,Listed Equity,Aurizon Holdings Ltd,AU000000AZJ1,ISIN,Australia,,,AZJ.AX
Balanced Growth,Listed Equity,Aussie Broadband Ltd,AU0000106643,ISIN,Australia,,,ABB.AX
Balanced Growth,Listed Equity,Austal Ltd,AU000000ASB3,ISIN,Australia,,,ASB.AX
Balanced Growth,Listed Equity,Australia & New Zealand Banking Group Ltd,AU000000ANZ3,ISIN,Australia,,,ANZ.AX
Balanced Growth,Listed Equity,Australian Clinical Labs Ltd,AU0000148496,ISIN,Australia,,,ACL.AX
Balanced Growth,Listed Equity,Australian Finance Group Ltd,US0259321042,ISIN,United States,,,AFG
Balanced Growth,Listed Equity,Australian Vintage Ltd,AU000000AVG6,ISIN,Australia,,,AVG.AX
Balanced Growth,Listed Equity,Auto Trader Group PLC,GB00BVYVFW23,ISIN,United Kingdom,,,AUTO.L
Balanced Growth,Listed Equity,AutoZone Inc,US0533321024,ISIN,United States,,,AZO
Balanced Growth,Listed Equity,Autodesk Inc,US0527691069,ISIN,United States,,,ADSK
Balanced Growth,Listed Equity,Automatic Data Processing Inc,FR0010340141,ISIN,France,,,ADP.PA
Balanced Growth,Listed Equity,Avantor Inc,US05352A1007,ISIN,United States,,,AVTR
Balanced Growth,Listed Equity,Avery Dennison Corp,US0536111091,ISIN,United States,,,AVY
Balanced Growth,Listed Equity,Aviva PLC,GB00BPQY8M80,ISIN,United Kingdom,,,AV.L
Balanced Growth,Listed Equity,Avolta AG,CH0023405456,ISIN,Switzerland,,,AVOL.SW
Balanced Growth,Listed Equity,Axis Bank Ltd,INE238A01034,ISIN,India,,,AXISBANK.BO
Balanced Growth,Listed Equity,Axis Capital Holdings Ltd,BMG0692U1099,ISIN,United States,,,AXS
Balanced Growth,Listed Equity,Axon Enterprise Inc,US05464C1018,ISIN,United States,,,AXON
Balanced Growth,Listed Equity,Ayala Corp,FR0000120404,ISIN,France,,,AC.PA
Balanced Growth,Listed Equity,Azrieli Group Ltd,IL0011194789,ISIN,Israel,,,AZRG.TA
Balanced Growth,Listed Equity,BAE Systems PLC,GB0002634946,ISIN,United Kingdom,,,BA.L
Balanced Growth,Listed Equity,BASF SE,DE000BASF111,ISIN,Germany,,,BAS.DE
Balanced Growth,Listed Equity,BCE Inc,CA05534B7604,ISIN,Canada,,,BCE.TO
Balanced Growth,Listed Equity,BDO Unibank Inc,PHY077751022,ISIN,PH,,,
Balanced Growth,Listed Equity,BE Semiconductor Industries NV,NL0012866412,ISIN,Netherlands,,,BESI.AS
Balanced Growth,Listed Equity,BHP Group Ltd,AU000000BHP4,ISIN,Australia,,,BHP.AX
Balanced Growth,Listed Equity,BKW AG,CH0130293662,ISIN,Switzerland,,,BKW.SW
Balanced Growth,Listed Equity,BNP Paribas SA,FR0000131104,ISIN,France,,,BNP.PA
Balanced Growth,Listed Equity,BOC Hong Kong Holdings Ltd,HK2388011192,ISIN,Hong Kong,,,2388.HK
Balanced Growth,Listed Equity,BP PLC,GB0007980591,ISIN,United Kingdom,,,BP.L
Balanced Growth,Listed Equity,BPER Banca SPA,IT0000066123,ISIN,Italy,,,BPE.MI
Balanced Growth,Listed Equity,BT Group PLC,GB0030913577,ISIN,United Kingdom,,,BT-A.L
Balanced Growth,Listed Equity,Bachem Holding AG,CH1176493729,ISIN,Switzerland,,,BANB.SW
Balanced Growth,Listed Equity,Baker Hughes Co,US05722G1004,ISIN,United States,,,BKR
Balanced Growth,Listed Equity,Ball Corp,US0584981064,ISIN,United States,,,BALL
Balanced Growth,Listed Equity,Baloise Holding AG,CH0012410517,ISIN,Switzerland,,,BALN.SW
