Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,AVIVA PLC,-,AV LN,BB Ticker,United Kingdom,,,80445,,-,762838,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,BROOKFIELD ASSET MANAGEMENT LTD.,-,BAM CN,BB Ticker,Canada,Financial Services,Asset Management,8695,,-,761294,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"LUNDIN GOLD, INC.",-,LUG CN,BB Ticker,Canada,Basic Materials,Gold,22095,,-,760776,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,MEG ENERGY CORP.,-,MEG CN,BB Ticker,Canada,Industrials,Waste Management,28588,,-,757655,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,BANK HAPOALIM BM,-,POLI IT,BB Ticker,Israel,,,38518,,-,751592,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,POWER CORP. OF CANADA,-,POW CN,BB Ticker,Canada,Industrials,Electrical Equipment & Parts,14915,,-,751074,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"CH ROBINSON WORLDWIDE, INC.",-,CHRW US,BB Ticker,United States,Industrials,Integrated Freight & Logistics,4487,,-,748780,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,WATERS CORP.,-,WAT US,BB Ticker,United States,Healthcare,Diagnostics & Research,1248,,-,747743,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"GEN DIGITAL, INC.",-,GEN US,BB Ticker,United States,Technology,Software - Infrastructure,16888,,-,746845,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,CREDIT CORP. GROUP LTD.,-,CCP AU,BB Ticker,Australia,Communication Services,Entertainment,46558,,-,744463,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,BALL CORP.,-,BALL US,BB Ticker,United States,Consumer Cyclical,Packaging & Containers,8358,,-,744237,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SMURFIT WESTROCK PLC,-,SWR LN,BB Ticker,United Kingdom,,,8486,,-,740867,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"HOLOGIC, INC.",-,HOLX US,BB Ticker,United States,Healthcare,Medical Instruments & Supplies,6335,,-,737600,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,CAMECO CORP.,-,CCO CN,BB Ticker,Canada,Communication Services,Advertising Agencies,8882,,-,737241,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SEKISUI HOUSE LTD.,-,1928 HK,SEDOL,Hong Kong,,,18796,,-,730525,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,HANMI PHARM CO. LTD.,-,128940 KS,BB Ticker,South Korea,Healthcare,Drug Manufacturers - Specialty & Generic,2366,,-,728163,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,KERING SA,-,KER FP,BB Ticker,France,Healthcare,Biotechnology,1819,,-,724720,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,HEICO CORP.,-,HEIA US,BB Ticker,United States,Consumer Defensive,Beverages - Brewers,2409,,-,724189,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,COMMERZBANK AG,-,CBK GR,BB Ticker,Germany,Financial Services,Banks - Regional,27505,,-,723364,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"EXPEDIA GROUP, INC.",-,EXPE US,BB Ticker,United States,Consumer Cyclical,Travel Services,2398,,-,721725,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"ENEOS HOLDINGS, INC.",-,5020 JP,BB Ticker,Japan,,,84714,,-,719376,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,HINDUSTAN UNILEVER LTD.,-,HUVR IN,BB Ticker,India,,,16306,,-,715782,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,REPSOL SA,-,REP SM,BB Ticker,Spain,Real Estate,REIT - Mortgage,36549,,-,714577,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,FRANCO-NEVADA CORP.,-,FNV CN,BB Ticker,Canada,Basic Materials,Gold,3744,,-,710267,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"BAXTER INTERNATIONAL, INC.",-,BAX US,BB Ticker,United States,Healthcare,Medical Instruments & Supplies,15069,,-,709724,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SMC CORP.,-,6273 JP,BB Ticker,Japan,Industrials,Specialty Industrial Machinery,1110,,-,709487,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,OTSUKA HOLDINGS CO. LTD.,-,4578 JP,BB Ticker,Japan,Healthcare,Drug Manufacturers - General,8026,,-,709324,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"LENNOX INTERNATIONAL, INC.",-,LII US,BB Ticker,United States,Industrials,Building Products & Equipment,720,,-,708794,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,"ILLUMINA, INC.",-,ILMN US,BB Ticker,United States,Healthcare,Diagnostics & Research,3266,,-,704989,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,CARGOTEC OYJ,-,CGCBV FH,BB Ticker,Finland,,,8240,,-,703962,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SANKYO CO. LTD.,-,6417 JP,SEDOL,Japan,,,31908,,-,697806,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SCHINDLER HOLDING AG,-,SCHN SW,BB Ticker,Switzerland,Industrials,Trucking,1574,,-,694377,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SUN HUNG KAI PROPERTIES LTD.,-,16 HK,BB Ticker,Hong Kong,,,44540,,-,691321,0
12/31/2024,aware,Balanced Growth,LISTED EQUITY,1,SGS SA,-,SGSN SW,BB Ticker,Switzerland,Industrials,Consulting Services,4268,,-,691256,0
