Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,"AP KENT MANAGEMENT, LLC",-,,N/A,,,,-,19271412.0,0.0111
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,WELLINGTON MANAGEMENT AUSTRALIA PTY LTD,-,,N/A,,,,-,13361234.0,0.0077
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,BENTHAM ASSET MANAGEMENT PTY LTD,-,,N/A,,,,-,11873853.0,0.0068
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,METRICS CREDIT PARTNERS PTY LTD,-,,N/A,,,,-,11325661.0,0.0065
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,HAYFIN MANAGEMENT LIMITED,-,,N/A,,,,-,4960033.0,0.0029
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,"BAIN CAPITAL CREDIT, LP",-,,N/A,,,,-,2215831.0,0.0013
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,SUB TOTAL,,,N/A,,,,,299220004.0,0.1725
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,BHP GROUP LTD.,-,BHP,BB Ticker,AU,529675.0,,-,20948607.0,0.0121
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,COMMONWEALTH BANK OF AUSTRALIA LTD.,-,CBA,BB Ticker,AU,120474.0,,-,18462615.0,0.0106
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"APPLE, INC.",-,AAPL,BB Ticker,US,39581.0,,-,16009349.0,0.0092
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,CSL LTD.,-,CSL,BB Ticker,AU,54439.0,,-,15329001.0,0.0088
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NVIDIA CORP.,-,NVDA,BB Ticker,US,65989.0,,-,14312758.0,0.0083
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,MICROSOFT CORP.,-,MSFT,BB Ticker,US,20093.0,,-,13678604.0,0.0079
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NATIONAL AUSTRALIA BANK LTD.,-,NAB,BB Ticker,AU,311130.0,,-,11542941.0,0.0067
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"AMAZON.COM, INC.",-,AMZN,BB Ticker,US,30169.0,,-,10690438.0,0.0062
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,MACQUARIE GROUP LTD.,-,MQG,BB Ticker,AU,45598.0,,-,10106730.0,0.0058
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ANZ GROUP HOLDINGS LTD.,-,ANZ,BB Ticker,AU,303741.0,,-,8668768.0,0.005
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WESTPAC BANKING CORP.,-,WBC,BB Ticker,AU,196756.0,,-,6359158.0,0.0037
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"META PLATFORMS, INC.",-,META,BB Ticker,US,6363.0,,-,6018071.0,0.0034999999999999
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"ALPHABET, INC.",-,GOOGL,BB Ticker,US,18925.0,,-,5786197.0,0.0033
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,QBE INSURANCE GROUP LTD.,-,QBE,BB Ticker,AU,287465.0,,-,5519309.0,0.0032
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,RIO TINTO LTD.,-,RIO,BB Ticker,AU,44464.0,,-,5222826.0,0.003
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WESFARMERS LTD.,-,WES,BB Ticker,AU,68509.0,,-,4900418.0,0.0028
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"TESLA, INC.",-,TSLA,BB Ticker,US,7423.0,,-,4841637.0,0.0028
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,TELSTRA GROUP LTD.,-,TLS,BB Ticker,AU,1160158.0,,-,4652234.0,0.0027
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WISETECH GLOBAL LTD.,-,WTC,BB Ticker,AU,36304.0,,-,4394931.0,0.0025
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"RESMED, INC.",-,RMD,BB Ticker,AU,117285.0,,-,4312531.0,0.0025
