Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,CANADIAN IMPERIAL BANK OF COMMERCE,-,,N/A,,,,-,21005745.0,0.0009
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,SUMITOMO MITSUI BANKING CORP.,-,,N/A,,,,-,18548862.0,0.0008
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,OVERSEA-CHINESE BANKING CORP. LTD.,-,,N/A,,,,-,17009646.0,0.0007
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,UNITED OVERSEAS BANK LTD.,-,,N/A,,,,-,13516013.0,0.0006
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,NEW SOUTH WALES TREASURY CORP.,-,,N/A,,,,-,13203229.0,0.0005
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,MUFG BANK LTD.,-,,N/A,,,,-,12433621.0,0.0005
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,BANK OF QUEENSLAND LTD.,-,,N/A,,,,-,9850865.0,0.0004
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,DBG CONSOLIDATED HOLDINGS PTY LTD,-,,N/A,,,,-,9839333.0,0.0004
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,BNP PARIBAS SA,-,,N/A,,,,-,9191303.0,0.0004
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,TREASURY CORP. OF VICTORIA,-,,N/A,,,,-,8830420.0,0.0004
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,QUEENSLAND TREASURY CORP.,-,,N/A,,,,-,8443146.0,0.0003
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,NORFINA LTD.,-,,N/A,,,,-,6979491.0,0.0003
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,LENDLEASE FINANCE LTD.,-,,N/A,,,,-,6827453.0,0.0003
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,NBN CO. LTD.,-,,N/A,,,,-,5868654.0,0.0002
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,,N/A,,,,-,4456010.0,0.0002
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,TORONTO-DOMINION BANK,-,,N/A,,,,-,4374348.0,0.0002
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,"CPPIB CAPITAL, INC.",-,,N/A,,,,-,3720520.0,0.0002
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,SYDNEY AIRPORT FINANCE CO PTY LTD,-,,N/A,,,,-,3361002.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,WESTERN AUSTRALIAN TREASURY CORP.,-,,N/A,,,,-,2654023.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,INTER-AMERICAN INVESTMENT CORP.,-,,N/A,,,,-,2267062.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,KIWIBANK LTD.,-,,N/A,,,,-,2109063.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,,N/A,,,,-,2040053.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,WESTPAC SECURITISATION TRUST,-,,N/A,,,,-,1540155.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,UBS AG,-,,N/A,,,,-,1531007.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,RWH FINANCE PTY LTD,-,,N/A,,,,-,1515387.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,ROYAL BANK OF CANADA,-,,N/A,,,,-,1501203.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,ASIAN DEVELOPMENT BANK,-,,N/A,,,,-,1428372.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,EUROPEAN INVESTMENT BANK,-,,N/A,,,,-,1383495.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,WOOLWORTHS GROUP LTD.,-,,N/A,,,,-,1357493.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,REDS TRUST,-,,N/A,,,,-,1154547.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,PUMA,-,,N/A,,,,-,1154008.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,,N/A,,,,-,1119579.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,,N/A,,,,-,1081441.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,MEDALLION TRUST,-,,N/A,,,,-,1062920.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,,N/A,,,,-,802935.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,ING BANK AUSTRALIA LTD.,-,,N/A,,,,-,555500.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,TOYOTA FINANCE AUSTRALIA LTD.,-,,N/A,,,,-,544962.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,CONQUEST TRUST,-,,N/A,,,,-,440879.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,SCENTRE GROUP TRUST 1,-,,N/A,,,,-,334117.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,BPCE SA,-,,N/A,,,,-,329756.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,KREDITANSTALT FUER WIEDERAUFBAU,-,,N/A,,,,-,287788.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,AUSTRALIAN NATIONAL UNIVERSITY,-,,N/A,,,,-,161283.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,JEM SOUTHBANK PTY LTD,-,,N/A,,,,-,85790.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,AXIOM EDUCATION PTY LTD,-,,N/A,,,,-,29907.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,BROADCOM CORP.,-,,N/A,,,,-,29026.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,KANSAS CITY SOUTHERN RAILWAY CO.,-,,N/A,,,,-,23594.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,"BAXTER INTERNATIONAL, INC.",-,,N/A,,,,-,23365.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,MPC FUNDING LTD.,-,,N/A,,,,-,16087.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,"LEHMAN BROTHERS HOLDINGS, INC.",-,,N/A,,,,-,125.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,GSR MORTGAGE LOAN TRUST,-,,N/A,,,,-,31.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,HOME EQUITY ASSET TRUST,-,,N/A,,,,-,9.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,SUB TOTAL,,,N/A,,,,,1212049261.0,0.0487786409695428
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ANCORA BIDCO B PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ANDANTE FINANCE COMPANY PTY LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,APOG BIDCO PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,CIRRUS HOLDINGS 2 PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,CREDABL WAREHOUSE TRUST NO.1,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,CX BIDCO PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,DEVICE TECHNOLOGIES AUSTRALIA PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,FP TURBO WAREHOUSE TRUST 2021-1,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,HARRIS FARM MARKETS FINANCE PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,HIREPOOL FINANCE LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,IRON MOUNTAIN AUSTRALIA GROUP PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,JAYBRO GROUP,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,JNZ FINCO LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,KINETIC HOLDING COMPANY PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,KINETIC NZ HOLDINGS LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,LEGAL SOFTWARE PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,MOTORONE BIDCO PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,NEWCOLD FINANCING PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,NZ HEALTHCARE INVESTMENTS LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PACIFIC 2023 BIDCO B PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PACIFIC PROPERTY FUND LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PAGAC CHICKEN TENDERS HOLDINGS I PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PEPPER FINANCE PTY LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PIRANHA BIDCO PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PLENTI FINANCE PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,RECYCLE AND RESOURCE OPERATIONS PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,RYMAN HEALTHCARE LIMITED,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,STRAITNZ HOLDINGS LTD.,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,TEEG BIDCO PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,VELOCITY FREQUENT FLYER PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,VESTONE CAPITAL ABS WAREHOUSE TRUST NO.2,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,VISY PACKAGING PROPERTIES PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,YHA PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ZEUSS CHILDCARE III PTY LTD,-,,N/A,,,,-,,
2024-12-31,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,SUB TOTAL,,,N/A,,,,,270095036.0,0.01086991198512
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",-,,N/A,,,,-,1990859872.0,0.0814
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,"BAIN CAPITAL CREDIT, LP",-,,N/A,,,,-,650021655.0,0.0266
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,CHALLENGER LIFE COMPANY LIMITED,-,,N/A,,,,-,217422769.0,0.0089
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,-,,N/A,,,,-,65622280.0,0.0027
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,BLACKROCK INVESTMENT MANAGEMENT (AUSTRALIA) LIMITED,-,,N/A,,,,-,59921118.0,0.0025
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,WESTBOURNE CREDIT MANAGEMENT LTD,-,,N/A,,,,-,55583524.0,0.0023
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,PAYDEN & RYGEL GLOBAL LIMITED,-,,N/A,,,,-,53947581.0,0.0022
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,FLAG ASSET MANAGEMENT PTY LTD,-,,N/A,,,,-,45845520.0,0.0019
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,ARES MANAGEMENT UK LIMITED,-,,N/A,,,,-,10383527.0,0.0004
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,"OAKTREE CAPITAL MANAGEMENT, L.P.",-,,N/A,,,,-,1530306.0,0.0001
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,INTERMEDIATE CAPITAL GROUP PLC,-,,N/A,,,,-,372370.0,0.0
2024-12-31,aware,Balanced Growth,FIXED INCOME,1,SUB TOTAL,,,N/A,,,,,3151510522.0,0.1289
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,BHP GROUP LTD.,-,BHP,BB Ticker,AU,9485202.0,,-,375139701.0,0.0153
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,COMMONWEALTH BANK OF AUSTRALIA,-,CBA,BB Ticker,AU,2271124.0,,-,348049573.0,0.0141999999999999
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,MICROSOFT CORP.,-,MSFT,BB Ticker,US,477538.0,,-,325094330.0,0.0133
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"APPLE, INC.",-,AAPL,BB Ticker,US,765416.0,,-,309578050.0,0.0127
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"AMAZON.COM, INC.",-,AMZN,BB Ticker,US,832337.0,,-,294930605.0,0.0121
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,CSL LTD.,-,CSL,BB Ticker,AU,926245.0,,-,260812240.0,0.0107
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,NVIDIA CORP.,-,NVDA,BB Ticker,US,1163862.0,,-,252434820.0,0.0103
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"META PLATFORMS, INC.",-,META,BB Ticker,US,193424.0,,-,182913622.0,0.0075
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,NATIONAL AUSTRALIA BANK LTD.,-,NAB,BB Ticker,AU,4763726.0,,-,176734226.0,0.0072
