Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,CURRENCY,Stock ID,Listed Country,% Ownership,Units Held,Adress,Value (AUD),Weighting (%)
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NVDA,US,,"531,084",-,115188947.0,1.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MSFT,US,,"167,880",-,114288868.0,1.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NAB,AU,,"2,891,304",-,107267364.0,1.03
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,WBC,AU,,"2,758,267",-,89147206.0,0.85
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ANZ,AU,,"3,087,554",-,88118806.0,0.84
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MQG,AU,,"375,109",-,83142856.0,0.8
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,WES,AU,,"792,550",-,56691075.0,0.54
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,GOOGL,US,,"178,629",-,54614525.0,0.52
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,META,US,,"52,769",-,49901742.0,0.48
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,QBE,AU,,"2,361,488",-,45340546.0,0.43
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,RIO,AU,,"381,048",-,44757700.0,0.43
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ALL,AU,,"645,820",-,44148228.0,0.42
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TLS,AU,,"10,787,103",-,43256285.0,0.41
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TSLA,US,,"61,788",-,40300676.0,0.39
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,COL,AU,,"1,755,222",-,33156118.0,0.32
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AVGO,US,,"85,091",-,31862108.0,0.31
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,COH,AU,,"108,542",-,31464208.0,0.3
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,GOOG,US,,"99,525",-,30612206.0,0.29
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,XRO,AU,,"180,695",-,30457952.0,0.29
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SUN,AU,,"1,550,581",-,29476557.0,0.28
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,FMG,AU,,"1,534,837",-,28010759.0,0.27
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,JHX,AU,,"545,580",-,27317130.0,0.26
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,WTC,AU,,"221,526",-,26817808.0,0.26
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TCL,AU,,"1,953,116",-,26152214.0,0.25
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,WOW,AU,,"850,887",-,25943551.0,0.25
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,2330,TT,,"484,416",-,25654440.0,0.25
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,V,US,,"48,957",-,24989499.0,0.24
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,JPM,US,,"59,547",-,23054297.0,0.22
