Portfolio Holdings Information for Investment Option: Growth Accumulation Option - Assets,,,,,,,,,,,,,
Section,Table Order,Security Name,Portfolio Name,Manager Name,Issuer,Institution,Security Identifier,Ownership%,Address,Local Currency,Units Held,Market Value,Weight
Listed equities,4,ADDTECH B,,,,,BLN8T44,,,,4310.79,189794.03,0.00%
Listed equities,4,ADECCO GROUP,,,,,7110720,,,,3447.84,137396.24,0.00%
Listed equities,4,ADIDAS,,,,,4031976,,,,3584.84,1419729.56,0.00%
Listed equities,4,ADITYA BIRLA CAPITAL LTD COMMON STOCK INR 10,,,,,BYVKT10,,,,14989.77,50284.71,0.00%
Listed equities,4,ADNOC DRILLING CO PJSC COMMON STOCK AED,,,,,BN12D39,,,,21643.93,50727.14,0.00%
Listed equities,4,ADNOC GAS PLC,,,,,BPJLW35,,,,1029876.73,1589532.59,0.00%
Listed equities,4,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,,,,,BRBN103,,,,79981.12,190969.66,0.00%
Listed equities,4,ADOBE,,,,,2008154,,,,61421.01,44113213.16,0.06%
Listed equities,4,ADP,,,,,B164FY1,,,,4950.2,924762.59,0.00%
Listed equities,4,ADTALEM GLOBAL EDUCATION INC COMMON STOCK USD 0.01,,,,,BZ12TX5,,,,19529.63,2865649.29,0.00%
Listed equities,4,ADVANCED INFO SERVICE PCL FOREIGN SH. THB 1,,,,,6412591,,,,258012.38,3507807.35,0.00%
Listed equities,4,ADVANCED MICRO DEVICES,,,,,2007849,,,,179655.42,35048983.37,0.05%
Listed equities,4,ADVANTEST CORP,,,,,6870490,,,,20313.84,1920203.88,0.00%
Listed equities,4,ADYEN NV,,,,,BZ1HM42,,,,29575.53,71079328.23,0.09%
Listed equities,4,AECOM,,,,,B1VZ431,,,,5432.77,937298.77,0.00%
Listed equities,4,AEGON,,,,,BPH0Y27,,,,31813.2,304338.86,0.00%
Listed equities,4,AEGON LTD NY REG SHRS USD,,,,,BSB7ZN3,,,,199846.43,1901147.48,0.00%
Listed equities,4,AENA,,,,,BVRZ8L1,,,,3462.34,1143065.3,0.00%
Listed equities,4,AERCAP HOLDINGS NV,,,,,B1HHKD3,,,,4304.49,665330.44,0.00%
Listed equities,4,AG ANADOLU GRUBU HOLDING AS COMMON STOCK TRY 1,,,,,B03MZM9,,,,68549.84,980023.26,0.00%
Listed equities,4,AGILE GROUP HOLDINGS,,,,,B0PR2F4,,,,3092449.79,475808.2,0.00%
Listed equities,4,AGILENT TECHNOLOGIES,,,,,2520153,,,,4724.15,1025021.51,0.00%
Listed equities,4,AGL ENERGY,,,,,BSS7GP5,,,,3518954.07,39728991.44,0.05%
Listed equities,4,AGNICO EAGLE MINES,,,,,2009823,,,,5527.25,698058.89,0.00%
Listed equities,4,AGNICO EAGLE MINES LTD COMMON STOCK CAD 0,,,,,2009834,,,,5150.11,650553.2,0.00%
Listed equities,4,AGRI BANK OF CHINA H,,,,,B60LZR6,,,,15982220.76,14721036.66,0.02%
Listed equities,4,AGRI BANK OF CN A (HK-C),,,,,BP3R228,,,,20431561.42,24141739.97,0.03%
Listed equities,4,AHOLD DELHAIZE,,,,,BD0Q398,,,,894867.83,47128712.19,0.06%
Listed equities,4,AIA GROUP,,,,,B4TX8S1,,,,3137749.73,36730279.89,0.05%
Listed equities,4,AIB GROUP,,,,,BF0L353,,,,903771.28,8056376.6,0.01%
Listed equities,4,AIMA TECHNOLOGY GROUP CO LTD COMMON STOCK CNY 1,,,,,BP91ND2,,,,74287.23,674272.7,0.00%
Listed equities,4,AINSWORTH GAME TECHNOLOGY LTD COMMON STOCK AUD 0,,,,,6427829,,,,3022548.03,2614504.05,0.00%
Listed equities,4,AIR NEW ZEALAND LTD COMMON STOCK NZD 0,,,,,6426569,,,,10320700.89,5624781.98,0.01%
Listed equities,4,AIRBNB A,,,,,BMGYYH4,,,,37960.96,8056932.56,0.01%
Listed equities,4,AIRBUS,,,,,4012250,,,,87224.31,22579088.19,0.03%
Listed equities,4,AIRTAC INTERNATIONAL,,,,,B52J816,,,,160176.34,6660031.04,0.01%
Listed equities,4,AISIN CORP,,,,,6010702,,,,8267.26,151019.54,0.00%
Listed equities,4,AJIN INDUSTRIAL CO LTD COMMON STOCK KRW 500,,,,,BDCWS11,,,,115473.93,304684.91,0.00%
Listed equities,4,AKAMAI TECHNOLOGIES,,,,,2507457,,,,76377.67,11799279.24,0.02%
Listed equities,4,AKBANK,,,,,B03MN70,,,,134560.2,398576.98,0.00%
Listed equities,4,AKER BP,,,,,B1L95G3,,,,7413.76,233739.12,0.00%
Listed equities,4,AKZO NOBEL,,,,,BJ2KSG2,,,,513829.85,49808300.39,0.07%
Listed equities,4,AL RAJHI BANKING & INV,,,,,B12LZH9,,,,93236.31,3791340.41,0.01%
Listed equities,4,AL RAYAN BANK,,,,,B0VR7W0,,,,533990.9,583420.31,0.00%
Listed equities,4,ALCOA CORP CDI AUD,,,,,BSY2LN7,,,,2000458.39,118667191.9,0.16%
Listed equities,4,ALDAR PROPERTIES,,,,,B0LX3Y2,,,,788628.23,2663241.89,0.00%
Listed equities,4,ALFA,,,,,2043423,,,,281245.51,329660.49,0.00%
Listed equities,4,ALFA LAVAL,,,,,7332687,,,,5300.49,358420.8,0.00%
Listed equities,4,ALIBABA GROUP HLDG ADR,,,,,BP41ZD1,,,,156795.74,21472519.57,0.03%
Listed equities,4,ALIBABA GRP HLDG (HK),,,,,BK6YZP5,,,,7872365.35,134874545.8,0.18%
Listed equities,4,ALIGN TECHNOLOGY,,,,,2679204,,,,629.89,212125.69,0.00%
Listed equities,4,ALIMENTATION COUCHE,,,,,BL56KN2,,,,473235.25,42367123.84,0.06%
Listed equities,4,ALIOR BANK,,,,,B8W8F13,,,,10867.12,365344.46,0.00%
Listed equities,4,ALL WINNER TECHNOLOGY CO LTD COMMON STOCK CNY 1,,,,,BD5M1H5,,,,466265.55,3998921.27,0.01%
Listed equities,4,ALLEGRO.EU,,,,,BMBQDF6,,,,85809.44,908603.83,0.00%
Listed equities,4,ALLIANZ,,,,,5231485,,,,113337.04,56088114.74,0.07%
Listed equities,4,ALLSTATE CORP,,,,,2019952,,,,9160.91,2852510.66,0.00%
Listed equities,4,ALLY FINANCIAL,,,,,B72XK05,,,,5832.75,339234.86,0.00%
Listed equities,4,ALPEK SAB DE CV COMMON STOCK MXN 0,,,,,B85H8C9,,,,181996.55,184345.61,0.00%
Listed equities,4,ALPHA CORP COMMON STOCK JPY,,,,,6744186,,,,15983.37,188569.81,0.00%
Listed equities,4,ALPHA DHABI HOLDING PJSC COMMON STOCK AED 1,,,,,BM8K209,,,,646716.41,3384058.92,0.00%
Listed equities,4,ALPHA SERVICES AND HLDGS,,,,,BZ1MXR7,,,,45833.69,123950.65,0.00%
Listed equities,4,ALPHABET A,,,,,BYVY8G0,,,,1636984.96,500494635.5,0.66%
Listed equities,4,ALPHABET C,,,,,BYY88Y7,,,,207428.69,63801532.73,0.08%
Listed equities,4,ALS LTD,,,,,B86SZR5,,,,378963.67,5714772.2,0.01%
Listed equities,4,ALTAGAS,,,,,B43WJC5,,,,25274.19,950270.73,0.00%
Listed equities,4,ALUMINUM CORP OF CHINA H,,,,,6425395,,,,1640107.02,1531144.12,0.00%
Listed equities,4,AMAZON.COM,,,,,2000019,,,,2020252.2,715857434.9,0.94%
Listed equities,4,AMBEV SA ADR USD 0,,,,,BG804F6,,,,1276761.6,3814922.02,0.01%
Listed equities,4,AMBEV SA COMMON STOCK BRL 0,,,,,BG7ZWY7,,,,2576629.16,7908363.89,0.01%
