AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TWD,n/a,n/a,n/a,n/a,"$36,338",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HUF,n/a,n/a,n/a,n/a,"$33,789",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CLP,n/a,n/a,n/a,n/a,"$20,890",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,RON,n/a,n/a,n/a,n/a,"$15,520",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,CAD,n/a,n/a,n/a,n/a,"$11,792",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",GBP,n/a,n/a,n/a,n/a,$206,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,SGD,n/a,n/a,n/a,n/a,$142,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",EUR,n/a,n/a,n/a,n/a,$87,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MERRILL LYNCH INTERNATIONAL,AUD,n/a,n/a,n/a,n/a,$52,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EGP,n/a,n/a,n/a,n/a,$14,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MERRILL LYNCH INTERNATIONAL,GBP,n/a,n/a,n/a,n/a,-$1,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,LKR,n/a,n/a,n/a,n/a,-$618,0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",MXN,n/a,n/a,n/a,n/a,"-$42,834",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",SEK,n/a,n/a,n/a,n/a,"-$50,863",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",JPY,n/a,n/a,n/a,n/a,"-$73,557",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,ROYAL BANK OF CANADA,USD,n/a,n/a,n/a,n/a,"-$86,242",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",GBP,n/a,n/a,n/a,n/a,"-$296,996",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",CAD,n/a,n/a,n/a,n/a,"-$375,802",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,THE BANK OF NEW YORK MELLON,USD,n/a,n/a,n/a,n/a,"-$584,859",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",EUR,n/a,n/a,n/a,n/a,"-$761,612",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MORGAN STANLEY,USD,n/a,n/a,n/a,n/a,"-$826,622",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,AUD,n/a,n/a,n/a,n/a,"-$3,573,798",-0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",AUD,n/a,n/a,n/a,n/a,"-$8,837,488",-0.04%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STANDARD CHARTERED BANK,AUD,n/a,n/a,n/a,n/a,"-$10,998,955",-0.05%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,ROYAL BANK OF CANADA,AUD,n/a,n/a,n/a,n/a,"-$16,886,914",-0.07%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,BARCLAYS BANK PLC,AUD,n/a,n/a,n/a,n/a,"-$34,738,064",-0.14%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,n/a,n/a,n/a,n/a,"-$41,211,381",-0.17%,,,,,
