Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Japan Yen,,,,,,,104114837.0,0.04,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Korea (South) Won,,,,,,,5363546.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Malaysia Ringgit,,,,,,,1.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Mexico Peso,,,,,,,-1031994.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,New Zealand Dollar,,,,,,,8024846.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Norway Krone,,,,,,,17968928.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Pakistan Rupee,,,,,,,850.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Philippines Peso,,,,,,,41251.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Poland Zloty,,,,,,,278328.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Qatar Riyal,,,,,,,3344.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Romania Leu,,,,,,,1.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Russia Ruble,,,,,,,3341427.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Singapore Dollar,,,,,,,2531717.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,South Africa Rand,,,,,,,108820.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Sweden Krona,,,,,,,3300982.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Switzerland Franc,,,,,,,56707177.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Taiwan New Dollar,,,,,,,2919111.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Turkey Lira,,,,,,,7031.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,United Kingdom Pound,,,,,,,92775584.0,0.04,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,United States Dollar,,,,,,,43238541.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Kommunalbanken AS,Name of Institution,Euro Member Countries,,,,,,,5910288.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Korea Development Bank/London,Name of Institution,United States Dollar,,,,,,,10811417.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Morgan Stanley & Co International PLC,Name of Institution,Australia Dollar,,,,,,,21100925.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,MUFG Bank Ltd/London,Name of Institution,Euro Member Countries,,,,,,,26011552.0,0.01,,,,,,,nan,nan
