Name,Stock ID,Yahoo ticker,LC
Axon Enterprise Inc,US05464C1018,AXON,United States
Ayala Corp,FR0000120404,AC.PA,France
Azrieli Group Ltd,IL0011194789,AZRG.TA,Israel
BAE Systems PLC,GB0002634946,BA.L,United Kingdom
BASF SE,DE000BASF111,BAS.DE,Germany
BCE Inc,CA05534B7604,BCE.TO,Canada
BDO Unibank Inc,PHY077751022,,
BE Semiconductor Industries NV,NL0012866412,BESI.AS,Netherlands
BHP Group Ltd,AU000000BHP4,BHP.AX,Australia
BKW AG,CH0130293662,BKW.SW,Switzerland
BNP Paribas SA,FR0000131104,BNP.PA,France
BOC Hong Kong Holdings Ltd,HK2388011192,2388.HK,Hong Kong
BP PLC,GB0007980591,BP.L,United Kingdom
BPER Banca SPA,IT0000066123,BPE.MI,Italy
BT Group PLC,GB0030913577,BT-A.L,United Kingdom
Bachem Holding AG,CH1176493729,BANB.SW,Switzerland
Baker Hughes Co,US05722G1004,BKR,United States
Ball Corp,US0584981064,BALL,United States
Baloise Holding AG,CH0012410517,BALN.SW,Switzerland
Banco BPM SpA,IT0005218380,BAMI.MI,Italy
Banco Bilbao Vizcaya Argentaria SA,ES0113211835,BBVA.MC,Spain
Banco Santander SA,ES0113900J37,SAN.MC,Spain
Banco de Sabadell SA,ES0113860A34,SAB.MC,Spain
Bandai Namco Holdings Inc,JP3778630008,7832.T,Japan
Bank Central Asia Tbk PT,ID1000109507,BBCA.JK,Indonesia
Bank Hapoalim BM,IL0006625771,POLI.TA,Israel
Bank Leumi Le-Israel BM,IL0006046119,LUMI.TA,Israel
Bank Mandiri Persero Tbk PT,ID1000095003,BMRI.JK,Indonesia
Bank Rakyat Indonesia Persero Tbk PT,ID1000118201,BBRI.JK,Indonesia
Bank of America Corp,US0605051046,BAC,United States
Bank of Ireland Group PLC,IE00BD1RP616,BIRG.IR,Ireland
Bank of Montreal,CA0636711016,BMO.TO,Canada
Bank of New York Mellon Corp/The,US0640581007,BK,United States
Bank of Nova Scotia/The,CA0641491075,BNS.TO,Canada
Bank of Queensland Ltd,AU000000BOQ8,BOQ.AX,Australia
Banque Cantonale Vaudoise,CH0531751755,BCVN.SW,Switzerland
Bapcor Ltd,AU000000BAP9,BAP.AX,Australia
Barclays PLC,GB0031348658,BARC.L,United Kingdom
Barratt Redrow PLC,GB0000811801,BTRW.L,United Kingdom
Barrick Gold Corp,CA0679011084,,
Barrick Gold Corp,CA0679011084,,
