Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,CHF,,,,,,"-352,808",0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,EUR,,,,,,"1,356,796",0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,GBP,,,,,,"-95,725",0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,JPY,,,,,,"-502,274",0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,USD,,,,,,"8,957,298",0.0002
31/12/2024,Care Super,Balanced,Cash,1,Members Equity Bank,AUD,,,,,,"15,352,942",0.0004
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,AUD,,,,,,58,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,CAD,,,,,,"-194,605",0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,EUR,,,,,,"546,406",0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,GBP,,,,,,"-84,088",0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,JPY,,,,,,-168,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,USD,,,,,,"5,032,742",0.0001
31/12/2024,Care Super,Balanced,Cash,1,MUFG Bank Ltd,AUD,,,,,,"179,834,754",0.0042
31/12/2024,Care Super,Balanced,Cash,1,National Australia Bank,AUD,,,,,,"412,350,276",0.0097
31/12/2024,Care Super,Balanced,Cash,1,Hungarian National Bank,HUF,,,,,,"1,451,473",0.0
31/12/2024,Care Super,Balanced,Cash,1,Norfina,AUD,,,,,,"53,710,665",0.0013
31/12/2024,Care Super,Balanced,Cash,1,Sumitomo Mitsui Banking Corporation,AUD,,,,,,"181,398,953",0.0043
31/12/2024,Care Super,Balanced,Cash,1,UBS,AUD,,,,,,"9,248,202",0.0002
31/12/2024,Care Super,Balanced,Cash,1,UBS,USD,,,,,,"1,368,136",0.0
31/12/2024,Care Super,Balanced,Cash,1,Wells Fargo,USD,,,,,,"4,298,334",0.0001
31/12/2024,Care Super,Balanced,Cash,1,Westpac Banking Corporation,AUD,,,,,,"276,736,523",0.006500000000000001
31/12/2024,Care Super,Balanced,Cash,1,Westpac Banking Corporation,USD,,,,,,"-206,010",0.0
31/12/2024,Care Super,Balanced,Cash,1,Sub Total,,,,,,,"3,651,069,396",0.0861
31/12/2024,Care Super,Balanced,Fixed Income,1,"Apollo Global Management, LLC",,,,,,,"161,325,379",0.0038
