Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
Bank of Queensland Ltd,AU,BANK OF QUEENSLAND LTD
Barclays PLC,LN,BARCLAYS PLC
Barratt Redrow PLC,LN,BARRATT REDROW PLC
Barrick Gold Corp,CN,BARRICK GOLD CORP
Barrick Gold Corp,US,BARRICK GOLD CORP
Baxter International Inc,US,BAXTER INTERNATIONAL INC EQUITY
Bayerische Motoren Werke AG,GR,BAYERISCHE MOTOREN WERKE AG
Beach Energy Ltd,AU,BEACH ENERGY LTD
Bechtle AG,GR,BECHTLE AG
Becton Dickinson & Co,US,BECTON DICKINSON AND COMPANY
Beiersdorf AG,GR,BEIERSDORF AG
BellRing Brands Inc,US,BELLRING BRANDS INC
Berkshire Hathaway Inc,US,BERKSHIRE HATHAWAY INC - CLASS B
Best Buy Co Inc,US,BEST BUY CO INC
Bharat Electronics Ltd,IN,BHARAT ELECTRONICS LTD
Big Yellow Group PLC,LN,BIG YELLOW GROUP PLC
BioMerieux,FP,BIOMERIEUX NPV
Biogen Inc,US,BIOGEN INC
Bizlink Holding Inc,TT,BIZLINK HOLDING INC
Blackrock Inc,US,BLACKROCK INC
Blackstone Inc,US,BLACKSTONE  INC
Block Inc,AU,BLOCK INC
Block Inc,US,BLOCK INC
Block Inc,AU,BLOCK INC CDI
Block Inc,US,BLOCK INC CDI
Boardwalk Real Estate Investment Trust,CN,BOARDWALK REAL ESTATE INVESTMENT TRUST
Booking Holdings Inc,US,BOOKING HOLDINGS INC COM
BorgWarner Inc,US,BORGWARNER INC
Bosideng International Holdings Ltd,HK,BOSIDENG INTERNATIONAL HOLDING
Boss Energy Ltd,AU,BOSS ENERGY LTD
Boston Scientific Corp,US,BOSTON SCIENTIFIC CORP COM USD
Botanix Pharmaceuticals Ltd,AU,BOTANIX PHARMACEUTICALS LTD ORDINARY FULLY PAID
Bridgestone Corp,JP,BRIDGESTONE CORP
Bristol-Myers Squibb Co,US,BRISTOL MYERS SQUIBB COMPANY
Britannia Industries Ltd,IN,BRITANNIA INDUSTRIES LTD
Brixmor Property Group Inc,US,BRIXMOR PROPERTY GROUP INC
Brother Industries Ltd,JP,BROTHER INDUSTRIES LTD
Builders FirstSource Inc,US,BUILDERS FIRSTSOURCE INC
Bunge Global SA,US,BUNGE GLOBAL SA COM USD0.01
Bunzl PLC,LN,BUNZL PLC
Bureau Veritas SA,FP,BUREAU VERITAS SA
CA Immobilien Anlagen AG,AV,CA IMMOBILIEN ANLAGEN AG
CBRE Group Inc,US,CBRE GROUP INC CLASS A
CD Projekt SA,PW,CD PROJEKT SA
CDL Hospitality Trusts,SP,CDL HOSPITALITY TRUSTS
CDW Corp/DE,US,CDW CORP
