Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
SITC International Holdings Co Ltd,HK,SITC INTERNATIONAL
SITE Centers Corp,US,SITE CENTERS CORP COM USD 0.10 POST REV SPLIT
SK Hynix Inc,KS,SK HYNIX INC
SKF AB,SS,SKF AB
SKY Network Television Ltd,NZ,SKY NETWORK TELEVISION LTD
SMC Corp,JP,SMC CORP
SS&C Technologies Holdings Inc,US,SS AND C TECHNOLOGIES HOLDINGS
STAG Industrial Inc,US,STAG INDUSTRIAL INC
STMicroelectronics NV,FP,STMICROELECTRONICS NV
Safehold Inc,US,SAFEHOLD INC COM USD0.01
Safestore Holdings PLC,LN,SAFESTORE HOLDINGS PLC
Safran SA,FP,SAFRAN SA
Sagax AB,SS,SAGAX AB
Salesforce Inc,US,SALESFORCE INC
Salmar ASA,NO,SALMAR ASA
Samhallsbyggnadsbolaget i Norden AB,SS,SAMHALLSBYGGNADSBOLAGET I NORDEN AB
Samsara Inc,US,SAMSARA INC
Samsung C&T Corp,KS,SAMSUNG C AND T CORPORATION
Samsung Electronics Co Ltd,KS,SAMSUNG ELECTRONICS CO LTD
Samsung Electronics Co Ltd,LI,SAMSUNG ELECTRONICS CO LTD
Samsung SDS Co Ltd,KS,SAMSUNG SDS CO LTD
Sanofi SA,FP,SANOFI SA
Santen Pharmaceutical Co Ltd,JP,SANTEN PHARMACEUTICAL CO
Sanwa Holdings Corp,JP,SANWA HOLDINGS CORPORATION
Sartorius AG,GR,SARTORIUS AG VORZUG
Scentre Group,AU,SCENTRE GROUP
Scentre Group,AU,SCENTRE GROUP TRUST 1
Schneider Electric SE,FP,SCHNEIDER ELECTRIC SE
Schroders PLC,LN,SCHRODERS PLC ORD GB
Sea Ltd,US,SEA LTD
Secom Co Ltd,JP,SECOM CO LTD
Securitas AB,SS,SECURITAS AB
Sega Sammy Holdings Inc,JP,SEGA SAMMY HOLDINGS INC
Segro PLC,LN,SEGRO PLC
Seiko Epson Corp,JP,SEIKO EPSON CORPORATION
Sekisui House Reit Inc,JP,SEKISUI HOUSE
Sekisui House Reit Inc,JP,SEKISUI HOUSE REIT INC
Sempra,US,SEMPRA ORD
ServiceNow Inc,US,SERVICENOW INC
Severn Trent PLC,LN,SEVERN TRENT PLC
Shaftesbury Capital PLC,LN,SHAFTESBURY CAPITAL PLC
Shell PLC,LN,SHELL PLC ORD EUR0.07
Shell PLC,S4,SHELL PLC ORD EUR0.07
Shimamura Co Ltd,JP,SHIMAMURA CO LTD
Shimano Inc,JP,SHIMANO INC
Shinhan Financial Group Co Ltd,US,SHINHAN FINANCIAL GROUP
Shinhan Financial Group Co Ltd,KS,SHINHAN FINANCIAL GROUP
Shionogi & Co Ltd,JP,SHIONOGI & CO LTD
Shopify Inc,CN,SHOPIFY INC COM NPV CL A
Shopify Inc,US,SHOPIFY INC COM NPV CL A
Siemens AG,GR,SIEMENS AG NPV EUR
Siemens Energy AG,GR,SIEMENS ENERGY AG
Signify NV,,SIGNIFY NV EUR0.01
Sika AG,SW,SIKA AG
Simon Property Group Inc,US,SIMON PROPERTY GROUP INC USD
Singapore Airlines Ltd,SP,SINGAPORE AIRLINES LTD
Singapore Exchange Ltd,SP,SINGAPORE EXCHANGE LTD
Sino Land Co Ltd,HK,SINO LAND CO LTD HKG
Sirius Real Estate Ltd,LN,SIRIUS REAL ESTATE LTD
SiteMinder Ltd,AU,SITEMINDER LTD
Skyworks Solutions Inc,US,SKYWORKS SOLUTIONS INC
Snam SpA,IM,SNAM SPA
Snap-on Inc,US,SNAP ON INC
Snowflake Inc,US,SNOWFLAKE INC
Societe Generale SA,FP,SOCIETE GENERALE SA
SoftBank Corp,JP,SOFTBANK CORP
Softcat PLC,LN,SOFTCAT PLC
Sompo Holdings Inc,JP,SOMPO HOLDINGS INC NPV
Sonic Healthcare Ltd,AU,SONIC HEALTHCARE LTD ORDINARY FULLY PAID
Sonova Holding AG,SW,SONOVA HOLDING AG - REG
Stantec Inc,CN,STANTEC INC
Starbucks Corp,US,STARBUCKS CORP
Starhill Global REIT,SP,STARHILL GLOBAL REIT
State Bank of India,IN,STATE BANK OF INDIA INR1
State Street Corp,US,STATE STREET CORP USD
Steel Dynamics Inc,US,STEEL DYNAMICS INC
Stockland,AU,STOCKLAND
Stockland,AU,STOCKLAND TRUST MANAGEMENT LTD
Stryker Corp,US,STRYKER CORP
Subaru Corp,JP,SUBARU CORP
Sumitomo Corp,JP,SUMITOMO CORP JPY
Sumitomo Electric Industries Ltd,JP,SUMITOMO ELECTRIC
Sumitomo Forestry Co Ltd,JP,SUMITOMO FORESTRY CO LTD
Sumitomo Mitsui Financial Group Inc,JP,SUMITOMO MITSUI FINANCIAL GROUP
Summit Hotel Properties Inc,US,SUMMIT HOTEL PROPERTIES INC
Sun Communities Inc,US,SUN COMMUNITIES INC
Sun Life Financial Inc,CN,SUN LIFE FINANCIAL INC
Suncor Energy Inc,CN,SUNCOR ENERGY INC
Suncorp Group Ltd,AU,SUNCORP GROUP LTD
Sunstone Hotel Investors Inc,US,SUNSTONE HOTEL INVESTORS INC REITS
Supermarket Income Reit PLC,LN,SUPERMARKET INCOME REIT PLC
Suzuken Co Ltd/Aichi Japan,JP,SUZUKEN CO LTD
Swire Pacific Ltd,HK,SWIRE PACIFIC
Swisscom AG,SW,SWISSCOM AG
Swissquote Group Holding SA,SW,SWISSQUOTE GROUP HOLDING SA
Symrise AG,GR,SYMRISE AG
Synchrony Financial,US,SYNCHRONY FINANCIAL
Synopsys Inc,US,SYNOPSYS INC
Sysco Corp,US,SYSCO CORPORATION COM
T Rowe Price Group Inc,US,T ROWE PRICE GROUP
T-Mobile US Inc,US,T MOBILE US INC COM
TC Energy Corp,CN,TC ENERGY CORP
TDK Corp,JP,TDK CORPORATION
TFI International Inc,CN,TFI INTERNATIONAL INC
TJX Cos Inc/The,US,TJX COS INC
TMX Group Ltd,CN,TMX GROUP LTD COM NPV
TOPPAN Holdings Inc,JP,TOPPAN HOLDINGS INC
TOTO Ltd,JP,TOTO LTD
Tabcorp Holdings Ltd,AU,TABCORP HOLDINGS LTD
Take-Two Interactive Software Inc,US,TAKE TWO INTERACTIVE SOFTWARE INC
Takeda Pharmaceutical Co Ltd,JP,TAKEDA PHARMACEUTICAL CO LTD
Tanger Inc,US,TANGER INC
Target Corp,US,TARGET CORPORATION
Tata Consultancy Services Ltd,IN,TATA CONSULTANCY SERVICES
Taylor Wimpey PLC,LN,TAYLOR WIMPEY PLC GBP
Tech Mahindra Ltd,IN,TECH MAHINDRA
Teck Resources Ltd,CN,TECK RESOURCES LTD-CLS B
Teleflex Inc,US,TELEFLEX INC
Telefonica SA,SM,TELEFONICA SA
Teleperformance SE,FP,TELEPERFORMANCE
Telstra Group Ltd,AU,TELSTRA GROUP LTD
Temple & Webster Group Ltd,AU,TEMPLE AND WEBSTER GROUP LTD
Tenaris SA,IM,TENARIS SA
Tencent Holdings Ltd,HK,TENCENT HOLDINGS LTD
Teradyne Inc,US,TERADYNE INC
Tesla Inc,US,TESLA INC
Texas Instruments Inc,US,TEXAS INSTRUMENTS
Textron Inc,US,TEXTRON INC
Thermo Fisher Scientific Inc,US,THERMO FISHER SCIENTIFIC INC
Toho Gas Co Ltd,JP,TOHO GAS CO LTD
Tokio Marine Holdings Inc,JP,TOKIO MARINE HOLDINGS INC
Tokyo Electron Ltd,JP,TOKYO ELECTRON LTD JPY
Tokyo Gas Co Ltd,JP,TOKYO GAS CO LTD
Tokyu REIT Inc,JP,TOKYU REIT INC
Toll Brothers Inc,US,TOLL BROTHERS INC
Toromont Industries Ltd,CN,TOROMONT INDUSTRIES LTD
Toronto-Dominion Bank/The,CN,TORONTO-DOMINION BANK
TotalEnergies SE,FP,TOTALENERGIES SE
Toyota Motor Corp,JP,TOYOTA MOTOR CORP
Toyota Tsusho Corp,JP,TOYOTA TSUSHO CORP
Tractor Supply Co,US,TRACTOR SUPPLY COMPANY
Trade Desk Inc/The,US,TRADE DESK INC
Tradeweb Markets Inc,US,TRADEWEB MARKETS INC
Trane Technologies PLC,US,TRANE TECHNOLOGIES PLC
TransDigm Group Inc,US,TRANSDIGM GROUP INC
Transurban Group,AU,TRANSURBAN GROUP ORDINARY SHARES UNITS STAPLED SECURITIES
Travelers Cos Inc/The,US,TRAVELERS COS INC / THE
Trelleborg AB,SS,TRELLEBORG AB-B SHS
Trent Ltd,IN,TRENT LTD
Trimble Inc,US,TRIMBLE INC COM NPV
Tritax Big Box REIT PLC,LN,TRITAX BIG BOX REIT PLC
Twilio Inc,US,TWILIO INC
Tyler Technologies Inc,US,TYLER TECHNOLOGIES INC
Tyro Payments Ltd,AU,TYRO PAYMENTS LTD
Tyson Foods Inc,US,TYSON FOODS INC CLASS A
UBS Group AG,SW,UBS GROUP AG
UDR Inc,US,UDR INC
UNITE Group PLC/The,LN,UNITE GROUP PLC
US Foods Holding Corp,US,US FOODS HOLDING CORP
Uber Technologies Inc,US,UBER TECHNOLOGIES INC
Ulta Beauty Inc,US,ULTA BEAUTY INC COM
UniCredit SpA,IM,UNICREDIT SPA
Unibail-Rodamco-Westfield,AU,UNIBAIL RODAMCO WESTFIELD
Unibail-Rodamco-Westfield,FP,UNIBAIL RODAMCO WESTFIELD
Unibail-Rodamco-Westfield,AU,UNIBAIL-RODAMCO-WESTFIELD CHESS DEPOSITARY INTERESTS 20:1 DE
Unibail-Rodamco-Westfield,FP,UNIBAIL-RODAMCO-WESTFIELD CHESS DEPOSITARY INTERESTS 20:1 DE
Unilever PLC,US,UNILEVER PLC
Unilever PLC,LN,UNILEVER PLC
Unilever PLC,I2,UNILEVER PLC
Union Pacific Corp,US,UNION PACIFIC CORP
United Overseas Bank Ltd,SP,UNITED OVERSEAS BANK LTD
United Rentals Inc,US,UNITED RENTALS INC
United Therapeutics Corp,US,UNITED THERAPEUTICS CORP
United Urban Investment Corp,JP,UNITED URBAN INVESTMENT CORP
United Utilities Group PLC,LN,UNITED UTILITIES GROUP PLC
UnitedHealth Group Inc,US,UNITEDHEALTH GROUP INC COM STK
Urban Logistics REIT PLC,LN,URBAN LOGISTICS REIT PLC
VICI Properties Inc,US,VICI PROPERTIES INC
Valero Energy Corp,US,VALERO ENERGY CORP
Valvoline Inc,US,VALVOLINE INC
Veeva Systems Inc,US,VEEVA SYSTEMS INC
Ventas Inc,US,VENTAS INC
Verbund AG,AV,VERBUND AG
VeriSign Inc,US,VERISIGN INC
Veris Residential Inc,US,VERIS RESIDENTIAL INC
Verizon Communications Inc,US,VERIZON COMMUNICATIONS
Verizon Communications Inc,US,VERIZON COMMUNICATIONS INC
Vertex Pharmaceuticals Inc,US,VERTEX PHARMACEUTICALS INC
Vertiv Holdings Co,US,VERTIV HOLDINGS CO
Viatris Inc,US,VIATRIS INC
Vinci SA,FP,VINCI SA
Visa Inc,US,VISA INC - A
Vistra Corp,US,VISTRA CORP
Volkswagen AG,GR,VOLKSWAGEN AG
Volvo AB,SS,VOLVO AB
Volvo AB,SS,VOLVO AB - B
Vonovia SE,GR,VONOVIA SE NPV SUBS RTS DIV CASH
Vornado Realty Trust,US,VORNADO REALTY TRUST
Voya Financial Inc,US,VOYA FINANCIAL INC
WEC Energy Group Inc,US,WEC ENERGY GROUP INC
WEG SA,BZ,WEG SA
WH Group Ltd,HK,WH GROUP LTD
WSP Global Inc,CN,WSP GLOBAL INC
Walmart Inc,US,WALMART INC
Warehouse Reit PLC,LN,WAREHOUSE REIT PLC
Wartsila OYJ Abp,FH,WARTSILA OYJ
Waste Management Inc,US,WASTE MANAGEMENT INC COM
Waters Corp,US,WATERS CORPORATION
Webjet Group Ltd,AU,WEBJET GROUP LTD
Wells Fargo & Co,US,WELLS FARGO & CO
Wells Fargo & Co,US,WELLS FARGO & COMPANY
Welltower Inc,US,WELLTOWER INC
Wesfarmers Ltd,AU,WESFARMERS LTD
West African Resources Ltd,AU,WEST AFRICAN RESOURCES LTD
Westpac Banking Corp,AU,WESTPAC BANKING CORPORATION
Westpac Banking Corp,AU,WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+2.90% PERP NON-CUM RED T-09-29
Westpac Banking Corp,AU,WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+3.20% PERP NON-CUM RED T-09-25
Westpac Banking Corp,AU,WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-03-27
Westpac Banking Corp,AU,WESTPAC BANKING CORPORATION CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-09-28
Weyerhaeuser Co,US,WEYERHAEUSER CO USD
Wheaton Precious Metals Corp,CN,WHEATON PRECIOUS METALS
Willis Towers Watson PLC,US,WILLIS TOWERS WATSON
Wix.com Ltd,US,WIX COM LTD
Wolters Kluwer NV,,WOLTERS KLUWER
Woodside Energy Group Ltd,AU,WOODSIDE ENERGY GROUP LTD ORDINARY FULLY PAID
Woolworths Group Ltd,AU,WOOLWORTHS GROUP LTD
Workday Inc,US,WORKDAY INC
Xcel Energy Inc,US,XCEL ENERGY INC
Xenia Hotels & Resorts Inc,US,XENIA HOTELS AND RESORTS INC
Xiaomi Corp,HK,XIAOMI CORP
Xior Student Housing NV,BB,XIOR STUDENT HOUSING NV
Yakult Honsha Co Ltd,JP,YAKULT HONSHA
Yamaha Motor Co Ltd,JP,YAMAHA MOTOR CO
Yaskawa Electric Corp,JP,YASKAWA ELECTRIC CORP
Yum! Brands Inc,US,YUM! BRANDS INC
ZOZO Inc,JP,ZOZO INC
Zalando SE,GR,ZALANDO SE NPV
Zebra Technologies Corp,US,ZEBRA TECHNOLOGIES CORP
Zijin Mining Group Co Ltd,HK,ZIJIN MINING GROUP CO LTD
Zillow Group Inc,US,ZILLOW GROUP INC
Zimmer Biomet Holdings Inc,US,ZIMMER BIOMET HOLDINGS INC
Zoetis Inc,US,ZOETIS INC
Zomato Ltd,IN,ZOMATO LTD
Zoom Video Communications Inc,US,ZOOM VIDEO COMMUNICATIONS INC
Zscaler Inc,US,ZSCALER INC
adidas AG,GR,ADIDAS AG
eBay Inc,US,EBAY INC
nib holdings Ltd/Australia,AU,NIB HOLDINGS LTD
