Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting,_Listed Country (before),_Listed Country (after)
31/12/2024,Care Super,Balanced,Listed Equity,1,ArcelorMittal SA,,MT,NA,308556.0,,,11574899.0,0.0003,NA,Netherlands
31/12/2024,Care Super,Balanced,Listed Equity,1,Arch Capital Group Ltd,,ACGL,US,58209.0,,,8682189.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Ares Management Corp,,ARES,US,38002.0,,,10865646.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Arhaus Inc,,ARHS,US,261449.0,,,3969340.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Arista Networks Inc,,ANET,US,138013.0,,,24637912.0,0.0006,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Aristocrat Leisure Ltd,,ALL,AU,2534086.0,,,173230151.0,0.0040999999999999995,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Armstrong World Industries Inc,,AWI,US,5286.0,,,1206677.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,ASE Technology Holding Co Ltd,,3711,TT,270971.0,,,2162587.0,0.0001,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,Aselsan Elektronik Sanayi Ve Ticaret AS,,ASELS,TI,57501.0,,,190415.0,0.0,TI,Turkey
31/12/2024,Care Super,Balanced,Listed Equity,1,Ashtead Group PLC,,AHT,LN,89919.0,,,9030592.0,0.0002,LN,United Kingdom
31/12/2024,Care Super,Balanced,Listed Equity,1,Asia Vital Components Co Ltd,,3017,TT,15396.0,,,472540.0,0.0,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,Asics Corp,,7936,JP,77648.0,,,2481715.0,0.0001,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,ASML Holding NV,,ASML,NA,80113.0,,,90936340.0,0.0021,NA,Netherlands
31/12/2024,Care Super,Balanced,Listed Equity,1,ASPEED Technology Inc,,5274,TT,51320.0,,,8406535.0,0.0002,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,Aspen Pharmacare Holdings Ltd,,APN,SJ,43128.0,,,608528.0,0.0,SJ,South Africa
31/12/2024,Care Super,Balanced,Listed Equity,1,ASR Nederland NV,,ASRNL,NA,8636.0,,,661197.0,0.0,NA,Netherlands
31/12/2024,Care Super,Balanced,Listed Equity,1,Assa Abloy AB,,ASSAB,SS,21933.0,,,1047723.0,0.0,SS,Sweden
31/12/2024,Care Super,Balanced,Listed Equity,1,Associated British Foods PLC,,ABF,LN,19067.0,,,787938.0,0.0,LN,United Kingdom
