Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,VERONA PHARMA PLC,-,VRNA,United States,21438.0,,-,1608005.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,KALYAN JEWELLERS INDIA LTD.,-,KALYANKJ,India,111067.0,,-,1605520.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,CREDO TECHNOLOGY GROUP HOLDING LTD.,-,CRDO,United States,14778.0,,-,1604228.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,ENI SPA,-,ENI,Italy,72484.0,,-,1586853.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,NORDEA BANK ABP,-,NDA,Finland,90353.0,,-,1586666.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP.,-,WAB,United States,5154.0,,-,1578275.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"SUN LIFE FINANCIAL, INC.",-,SLF,Canada,16466.0,,-,1578241.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,ORORA LTD.,-,ORA,Australia,641378.0,,-,1577790.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,ORION OYJ,-,ORNBV,Finland,21977.0,,-,1572343.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,MEGAPORT LTD.,-,MP1,Australia,213338.0,,-,1572301.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"IQVIA HOLDINGS, INC.",-,IQV,United States,4949.0,,-,1570841.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,WIX.COM LTD.,-,WIX,United States,4525.0,,-,1567968.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,SCHINDLER HOLDING AG,-,SCHP,Switzerland,3494.0,,-,1559048.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,DEUTSCHE BANK AG,-,DBK,Germany,55993.0,,-,1558243.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"GE HEALTHCARE TECHNOLOGIES, INC.",-,GEHC,United States,12306.0,,-,1553836.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,DB INSURANCE CO. LTD.,-,005830,South Korea,13769.0,,-,1553025.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,BARRICK GOLD CORP.,-,GOLD,United States,61937.0,,-,1550538.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,ARB CORP. LTD.,-,ARB,Australia,38114.0,,-,1547816.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,WH GROUP LTD.,-,288,Hong Kong,1236737.0,,-,1545428.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,KONECRANES OYJ,-,KCR,Finland,15090.0,,-,1544534.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"INGERSOLL RAND, INC.",-,IR,United States,10569.0,,-,1544175.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,PAMPA ENERGIA SA,-,PAM,United States,10834.0,,-,1538802.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"BLOCK, INC.",-,SQ,United States,11188.0,,-,1535778.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"DUPONT DE NEMOURS, INC.",-,DD,United States,12470.0,,-,1535714.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,BHARTI AIRTEL LTD.,-,BHARTI,India,51075.0,,-,1529866.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,PEOPLE'S INSURANCE CO. GROUP OF CHINA LTD.,-,1339,Hong Kong,1901239.0,,-,1529837.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,KONAMI GROUP CORP.,-,9766,Japan,10048.0,,-,1528283.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,OCCIDENTAL PETROLEUM CORP.,-,OXY,United States,19135.0,,-,1527079.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,PIPER SANDLER COS.,-,PIPR,United States,3150.0,,-,1526115.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"QUANTA COMPUTER, INC.",-,2382,Taiwan,107221.0,,-,1515994.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,HONG KONG EXCHANGES & CLEARING LTD.,-,388,Hong Kong,24664.0,,-,1511781.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,NATIONAL BANK OF CANADA,-,NA,Canada,10260.0,,-,1509775.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,JENTECH PRECISION INDUSTRIAL CO. LTD.,-,3653,Taiwan,19974.0,,-,1500586.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,JUDO CAPITAL HOLDINGS LTD.,-,JDO,Australia,822750.0,,-,1497405.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,FLUTTER ENTERTAINMENT PLC,-,FLTR,United Kingdom,3552.0,,-,1488748.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"AMER SPORTS, INC.",-,AS,United States,32962.0,,-,1488509.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,INCYTE CORP.,-,INCY,United States,13336.0,,-,1487714.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,MESOBLAST LTD.,-,MSB,Australia,477747.0,,-,1481015.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,INVESTOR AB,-,INVEB,Sweden,34534.0,,-,1477548.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,PRIMORIS SERVICES CORP.,-,PRIM,United States,11971.0,,-,1477162.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,TALEN ENERGY CORP.,-,TLN,United States,4539.0,,-,1477126.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,THALES SA,-,HO,France,6369.0,,-,1476849.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,EDISON INTERNATIONAL,-,EIX,United States,11446.0,,-,1475974.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,GOLAR LNG LTD.,-,GLNG,United States,21551.0,,-,1473035.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,SANRIO CO. LTD.,-,8136,Japan,25831.0,,-,1470667.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,NICKEL INDUSTRIES LTD.,-,NIC,Australia,1777154.0,,-,1466153.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,STATE STREET CORP.,-,STT,United States,9225.0,,-,1462377.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"MICROCHIP TECHNOLOGY, INC.",-,MCHP,United States,15754.0,,-,1459293.0,0.0001
