Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"APELLIS PHARMACEUTICALS, INC.",,APLS ,BB Ticker,US,Healthcare,Biotechnology,2646.0,,,136381.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"ADEIA, INC.",,ADEA ,BB Ticker,US,Technology,Software - Application,6032.0,,,136198.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"TEXAS CAPITAL BANCSHARES, INC.",,TCBI ,BB Ticker,US,Financial Services,Banks - Regional,1077.0,,,136050.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"GUARDANT HEALTH, INC.",,GH ,BB Ticker,US,Healthcare,Diagnostics & Research,2757.0,,,136028.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,XTEP INTERNATIONAL HOLDINGS LTD.,,1368 ,BB Ticker,HK,,,115989.0,,,136016.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,UNITED INTERNET AG,,UTDI ,BB Ticker,GR,Communication Services,Telecom Services,5188.0,,,135973.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SHOUGANG FUSHAN RESOURCES GROUP LTD.,,639 ,BB Ticker,HK,Industrials,Farm & Heavy Construction Machinery,260231.0,,,135809.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ACTER GROUP CORP. LTD.,,5536 ,BB Ticker,TT,Industrials,Engineering & Construction,7413.0,,,135669.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"SEIBU HOLDINGS, INC.",,9024 ,BB Ticker,JP,Industrials,Conglomerates,4113.0,,,135588.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,TOTO LTD.,,5332 ,BB Ticker,JP,Industrials,Building Products & Equipment,3466.0,,,135538.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,OCADO GROUP PLC,,OCDO ,BB Ticker,LN,Consumer Defensive,Grocery Stores,22143.0,,,135401.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"WAYFAIR, INC.",,W ,BB Ticker,US,Consumer Cyclical,Internet Retail,1889.0,,,135233.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,AZIMUT HOLDING SPA,,AZM ,BB Ticker,IM,Financial Services,Asset Management,3369.0,,,135139.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,EASYJET PLC,,EZJ ,BB Ticker,LN,,,11922.0,,,135044.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,INVESTMENT AB LATOUR,,LATOB ,BB Ticker,SS,,,3348.0,,,135042.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"WAFD, INC.",,WAFD ,BB Ticker,US,Financial Services,Banks - Regional,2592.0,,,134990.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,HD HYUNDAI HEAVY INDUSTRIES CO. LTD.,,329180 ,BB Ticker,KS,Industrials,Aerospace & Defense,428.0,,,134772.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,UBS GROUP AG,,UBS ,BB Ticker,US,Financial Services,Banks - Diversified,2752.0,,,134749.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,TEREX CORP.,,TEX ,BB Ticker,US,Industrials,Farm & Heavy Construction Machinery,1803.0,,,134562.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,FURUKAWA CO. LTD.,,5715 ,SEDOL,JP,Basic Materials,Other Industrial Metals & Mining,8147.0,,,134470.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,AROUNDTOWN SA,,AT1 ,BB Ticker,GR,,,27523.0,,,134458.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ATOUR LIFESTYLE HOLDINGS LTD.,,ATAT ,BB Ticker,US,Consumer Cyclical,Lodging,3092.0,,,134292.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,INTERMEDIATE CAPITAL GROUP PLC,,ICG ,BB Ticker,LN,Technology,Semiconductors,3213.0,,,134258.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,BANCO DEL BAJIO SA,,BBAJIOO ,BB Ticker,MM,Financial Services,Banks - Regional,41396.0,,,134250.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ASELSAN ELEKTRONIK SANAYI VE TICARET AS,,ASELS ,BB Ticker,TI,Industrials,Aerospace & Defense,40522.0,,,134186.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ALARKO HOLDING AS,,ALARK ,BB Ticker,TI,Real Estate,Real Estate - Development,31840.0,,,133798.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,AMPLIFON SPA,,AMP ,BB Ticker,IM,Financial Services,Asset Management,3211.0,,,133453.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"KANGWON LAND, INC.",,035250 ,BB Ticker,KS,Consumer Cyclical,Resorts & Casinos,7608.0,,,133296.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ENTERGY CORP.,,ETR ,BB Ticker,US,Utilities,Utilities - Regulated Electric,1088.0,,,133247.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"ARCELLX, INC.",,ACLX ,BB Ticker,US,Healthcare,Biotechnology,1075.0,,,133095.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CGN POWER CO. LTD.,,003816 ,SEDOL,C2,Utilities,Utilities - Independent Power Producers,145634.0,,,133088.0,0.0
