Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,-0.018303,0,,MXN,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,74653.46896,0.00000108,,MXN,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,228914.6496,0.0000033,,MYR,
31/12/2024,Balanced Growth,Cash,,CSI Bank,,-1.004835,0,,NOK,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,531620.3292,0.00000767,,NOK,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,-215203.9681,-0.00000311,,NZD,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,18.799566,0,,NZD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,3125170.324,0.00004509,,NZD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,14210.61995,0.00000021,,PEN,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,7309.003858,0.00000011,,PHP,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,102994.8199,0.00000149,,PLN,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,95773.39344,0.00000138,,QAR,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,140448.1062,0.00000203,,RON,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1.210493,0,,RUB,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,-2091.610357,-0.00000003,,SEK,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,0.014551,0,,SEK,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,805889.0337,0.00001163,,SEK,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,227491.7028,0.00000328,,SGD,
31/12/2024,Balanced Growth,Cash,,CSI Bank,,-416.257869,-0.00000001,,SGD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1825728.951,0.00002634,,SGD,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,-340.745133,0,,THB,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,11982.62156,0.00000017,,THB,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,51033.56127,0.00000074,,TRY,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1662503.374,0.00002399,,TWD,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,8946202.902,0.00012909,,USD,
31/12/2024,Balanced Growth,Cash,,BNP Paribas SA,,29422477.78,0.00042454,,USD,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,-33436269.64,-0.00048246,,USD,
31/12/2024,Balanced Growth,Cash,,Credit Suisse Group AG,,-325.149956,0,,USD,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,15169680.03,0.00021889,,USD,
31/12/2024,Balanced Growth,Cash,,HSBC Holdings PLC,,-3764058.739,-0.00005431,,USD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,175339549.4,0.00253002,,USD,
31/12/2024,Balanced Growth,Cash,,Macquarie Group Ltd,,2308.30123,0.00000003,,USD,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,599427.6225,0.00000865,,USD,
31/12/2024,Balanced Growth,Cash,,Royal Bank of Canada,,1519331.708,0.00002192,,USD,
31/12/2024,Balanced Growth,Cash,,SSB Bank,,13080.57541,0.00000019,,USD,
31/12/2024,Balanced Growth,Cash,,Warburg Dillon,,742366.8124,0.00001071,,USD,
31/12/2024,Balanced Growth,Cash,,Westpac Banking Corp,,-489691.8563,-0.00000707,,USD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,0.007921,0,,ZA1,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,133457.9544,0.00000193,,ZAR,
31/12/2024,Balanced Growth,Cash Total,,,,7092888076,0.10234495,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,BlackRock Inc,,995863461.2,0.01436955,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Challenger Limited,,113603295.3,0.00163921,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,GoldenTree AM,,175706429.9,0.00253531,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,IFM Investors Pty Ltd,,190125292.2,0.00274336,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,JPMorgan Chase & Co,,2216764724,0.03198622,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Macquarie Asset Management,,89096947.26,0.0012856,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Generate Capital,,1840626.55,0.00002656,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Oaktree Capital Management LP,,1331084833,0.01920654,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,PIMCO Australia Pty Ltd,,1972994283,0.0284688,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Schroders PLC,,38135922.65,0.00055027,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Wellington,,304892769.8,0.00439937,,,
31/12/2024,Balanced Growth,Fixed Income,Externally Managed,Westbourne Credit Management Limited,,1040776.403,0.00001502,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,AGI Finance Pty Ltd,,2175015.391,0.00003138,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Airservices Australia,,12038168.34,0.0001737,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,AusNet Services Holdings Pty Ltd,,3597535.875,0.00005191,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australia Government Bond,,878179119.1,0.01267145,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australian Capital Territory,,1234058.427,0.00001781,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australian Catholic University Ltd,,22733602.44,0.00032803,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australia & New Zealand Banking Group Ltd,,9403696.438,0.00013569,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australian Gas Networks Ltd,,5001901.994,0.00007217,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australian Postal Corp,,17572104.54,0.00025355,,,
