Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ARC RESOURCES LTD COM NPV,B6463M8,"7,227","211,597",0.00%
ARCA CONTINENTAL SAB DE CV,2823885,"663,007","8,896,236",0.01%
ARCADIS NV EUR0.05,5769209,"154,473","15,190,891",0.02%
ARCADIUM LITHIUM PLC-CDI,BS715X9,"15,305","125,502",0.00%
ARCH CAPITAL GROUP LTD COM USD0.01,2740542,"4,684","698,679",0.00%
ARCH RESOURCES INC,BLB8B95,"34,002","7,755,421",0.01%
ARCHER DANIELS MIDLAND COM,2047317,"5,330","434,881",0.00%
ARENA REIT,B99K263,"3,533,525","13,745,414",0.02%
ARES MANAGEMENT CORP,BF14BT1,"1,419","405,646",0.00%
ARGENX SE ARGX,BNHKYX4,593,"595,195",0.00%
ARISTA NETWORKS INC,US0404132054 (ISIN),"10,170","1,815,578",0.00%
ARISTOCRAT LEISURE LTD,6253983,"3,801,737","259,886,758",0.32%
ARKEMA EUR10,B0Z5YZ2,485,"59,673",0.00%
ARTHUR J GALLAGHER & CO COM,2359506,"2,635","1,207,915",0.00%
ASAHI GROUP HOLDINGS LTD,6054409,"14,014","238,645",0.00%
ASAHI KASEI CORP ORD,6054603,"7,608","85,424",0.00%
ASANA INC - CL A,BLFDQC4,"559,046","18,302,275",0.02%
ASE TECHNOLOGY HOLDINGS CO LTD,BFXZDY1,"1,923,982","15,354,954",0.02%
ASHTEAD GROUP PLC ORD GBP0.10,53673,"4,779","479,951",0.00%
ASICS CORP,6057378,"960,160","30,687,806",0.04%
ASM INTERNATIONAL NV COM,5165294,"18,972","17,730,335",0.02%
ASML HOLDING NV,B929F46,"145,039","164,632,877",0.20%
ASMPT LTD,6002453,"1,468,158","22,863,982",0.03%
ASOS PLC ORD GBP0.035,3092725,"1,094,012","9,851,999",0.01%
ASPEN TECHNOLOGY INC,BP2V812,357,"143,845",0.00%
ASR NEDERLAND NV-W/I,BD9PNF2,"-1,396","-106,918",0.00%
ASSA ABLOY AB-B,BYPC1T4,"281,037","13,425,104",0.02%
ASSICURAZIONI GENERALI,4056719,"7,887","359,689",0.00%
ASSOCIATED BRITISH FOODS PLC,673123,"110,782","4,578,111",0.01%
ASSURANT INC COM USD0.01,2331430,663,"228,417",0.00%
ASTELLAS PHARMA INC SHS,6985383,"13,956","220,090",0.00%
ASTRAZENECA PLC,989529,"15,488","3,279,459",0.00%
ASUSTEK COMPUTER INC ORD,6051046,"552,860","16,777,533",0.02%
ASYMCHEM LABORATORIES TIAN-A,BD6V5C4,"26,540","444,276",0.00%
AT&T INC,2831811,"70,655","2,598,411",0.00%
ATLANTA BRAVES HOLDINGS IN-C,BRF2GD4,154,"9,487",0.00%
Atlas Arteria,BZ03TZ1,"4,422,899","21,008,771",0.03%
ATLAS COPCO AB-A SHS,BLDBN41,"17,848","440,507",0.00%
ATLAS COPCO AB-B SHS,BLDBN52,"29,812","651,270",0.00%
ATLASSIAN CORP PLC-CLASS A,BQ1PC76,"165,087","64,893,698",0.08%
ATMOS ENERGY CORP,2315359,"1,095","246,407",0.00%
AUB GROUP LTD,B0MBNC3,"2,265,721","70,690,502",0.09%
AUCKLAND INTL AIRPORT LTD,BKX3XG2,"24,181","190,364",0.00%
AUCKLAND INTL AIRPORT LTD NPV,BLRZSS8,"2,160,674","16,766,829",0.02%
AUCTION TECHNOLOGY GROUP-WI,BMVQDZ6,"1,677,687","18,664,687",0.02%
AUDINATE GROUP LTD AD8,BZ9N3B6,"2,931","21,716",0.00%
AURIZON HOLDINGS LTD,B87CVM3,"20,781,673","67,540,438",0.08%
AUSTIN ENGINEERING LTD NPV,6710615,"10,311,310","5,258,768",0.01%
AUSTRALIAN CLINICAL LABS LTD,BMWLLJ0,"1,740,259","5,986,492",0.01%
AUSTRALIAN STOCK EXCHANGE NPV,6129222,"497,866","32,401,152",0.04%
AUSTRALIAN VINTAGE LIMITED,6130677,"1,638,099","229,334",0.00%
AUTEL INTELLIGENT TECHNOLO-A,BNR4NW8,"276,505","2,382,130",0.00%
AUTO TRADER GROUP PLC AUTO,BVYVFW2,"1,139,591","18,279,709",0.02%
AUTODESK INC COM,2065159,"161,548","77,119,995",0.09%
AUTOHELLAS SA OTOEL,BDZTGG0,"77,572","1,320,703",0.00%
AUTOMATIC DATA PROCESS COM,2065308,"122,828","58,072,472",0.07%
AUTOZONE INC COM,2065955,192,"992,788",0.00%
AVALONBAY COMMUNITIES INC COM USD0.01,2131179,"1,287","457,322",0.00%
AVANOS MEDICAL INC,BFFVV54,"648,920","16,685,466",0.02%
AVANTOR INC AVTR,BJLT387,"5,964","202,956",0.00%
AVARY HOLDING SHENZHEN CO -A,BKDQ800,"61,902","496,797",0.00%
AVERY DENNISON CORP COM,2066408,989,"298,991",0.00%
AVIVA PLC,BPQY8M8,"27,463","260,429",0.00%
Avolta,B0R80X9,"1,058","68,509",0.00%
AVZ MINERALS LTD AVZ,B23G0B9,"65,249","50,894",0.00%
AXA PARIS ACT ORD,7088429,"17,759","1,019,332",0.00%
AXIS CAPITAL HOLDINGS LTD COM USD0.0125,2677606,"97,436","13,946,214",0.02%
AXON ENTERPRISE INC,BDT5S35,704,"675,366",0.00%
AZELIS GROUP NV,BMHT025,"195,263","6,204,793",0.01%
AZRIELI GROUP ILS0.01,B5MN1W0,-296,"-39,451",0.00%
B3 SA-BRASIL BOLSA BALCAO,BG36ZK1,"14,205,437","38,326,759",0.05%
BACHEM HOLDING AG-REG B,BMXVKB4,"1,086","112,026",0.00%
BAKER HUGHES A GE CO,BDHLTQ5,"9,816","650,328",0.00%
BALL CORP COM,2073022,"3,052","271,791",0.00%
BALOISE HOLDING AG - REG,7124594,177,"51,768",0.00%
BANCO BILBAO VIZCAYA ARGENTA,5501906,"55,108","871,153",0.00%
BANCO BPM SPA,BYMD5K9,"6,114","79,881",0.00%
BANCO BRADESCO SA-PREF PRF NPV,B00FM53,"5,406,844","16,340,656",0.02%
BANCO DE SABADELL SA EUR0.5,B1X8QN2,"56,422","177,119",0.00%
BANCO DO BRASIL SA COM NPV,2328595,"1,706,361","10,782,398",0.01%
BANCO SANTANDER CENTRA,5705946,"326,658","2,439,050",0.00%
BANCOLOMBIA S.A.-SPONS ADR SPON ADR REPR,2082567,"374,369","19,052,507",0.02%
BANDAI NAMCO HOLDINGS INC,B0JDQD4,"6,545","254,187",0.00%
BANGKOK BANK-FOR REG,6077019,"357,744","2,558,972",0.00%
BANGKOK DUSIT MED SERVICE-F THB1(ALIEN),BLZGSM7,"7,166,036","8,316,895",0.01%
BANK CENTRAL ASIA TBK,B01C1P6,"114,675,569","111,333,882",0.14%
BANK HAPOALIM BM ILS1,6075808,"14,512","283,166",0.00%
BANK LEUMI LE-ISRAEL ILS1,6076425,"8,783","168,781",0.00%
BANK MANDIRI TBK PT,6651048,"21,384,826","12,231,678",0.01%
BANK MONTREAL QUE COM,2076009,"6,399","1,002,871",0.00%
BANK NEGARA INDONESIA (PERSERO) TBK,6727121,"15,971,868","6,971,889",0.01%
BANK NOVA SCOTIA HALIF COM,2076281,"10,692","926,841",0.00%
BANK OF AMERICA CORP,2295677,"1,137,416","80,738,778",0.10%
BANK OF BEIJING CO LTD -A,BP3R2W8,"732,938","991,658",0.00%
BANK OF CHONGQING CO LTD-A,CNE100004C60 (ISIN),"868,150","1,772,402",0.00%
BANK OF GEORGIA GROUP PLC,BF4HYT8,"57,340","5,462,902",0.01%
BANK OF IRELAND GROUP PLC BIRG,BD1RP61,"99,378","1,463,601",0.00%
BANK OF JIANGSU CO LTD-A,BYW5MY8,"2,818,901","6,089,908",0.01%
BANK OF NEW YORK MELLON CORP,B1Z77F6,"8,142","1,010,392",0.00%
BANK OF NINGBO CO LTD -A,BD5CP06,"292,552","1,564,614",0.00%
BANK OF QUEENSLAND LTD,6076243,"3,160,854","21,177,719",0.03%
BANK RAKYAT INDONESIA PERSER,6709099,"60,958,823","24,957,565",0.03%
BANK ST PETERSBURG PJSC BSPB,B596R68,"1,105,725",0,0.00%
BANK SYARIAH INDONESIA TBK P,BFY6H41,"7,091,194","1,942,618",0.00%
BANNERMAN ENERGY LTD,B07DXJ1,"2,263,377","6,563,794",0.01%
BANQUE CANTONALE VAUDOIS-REG,BMFY8R3,11,"1,629",0.00%
BAOSHAN IRON & STEEL CO-A,BP3R2Y0,"4,736,268","7,293,800",0.01%
BAPCOR LTD,BLD2CY7,"15,455,243","72,948,745",0.09%
BARCLAYS,3134865,"2,151,447","11,669,590",0.01%
BARRATT REDROW PLC,81180,"186,680","1,661,867",0.00%
BARRICK GOLD CORP COM,2024644,"15,987","400,177",0.00%
BARRY CALLEBAUT AG CHF100(REGD),5476929,11,"23,451",0.00%
BASF SE,5086577,"27,584","1,958,822",0.00%
BAXTER INTL INC COM,2085102,"5,150","242,535",0.00%
BAYERISCHE MOTOREN WERKE-PFD NON VTG PRF,5756030,124,"15,001",0.00%
BCE INC COM,B188TH2,451,"16,865",0.00%
BE SEMICONDUCTOR INDUSTRIES,BG0SCK9,"222,015","49,124,227",0.06%
BEACH ENERGY LTD,6088204,"32,425,500","45,233,573",0.06%
BEACON LIGHTING GROUP LTD,BKXF175,"3,120,732","9,518,234",0.01%
BECHTLE AG NPV,5932409,288,"14,964",0.00%
BECTON DICKINSON AND CO,2087807,"86,468","31,683,692",0.04%
BEGA CHEESE LTD NPV,B56CQJ5,"1,562,581","9,016,094",0.01%
BEIERSDORF AG BEIERSDORF AG,5107401,"290,338","60,211,527",0.07%
BEIGENE LTD-A,BNHPM91,"541,912","19,196,766",0.02%
BEIGENE LTD-ADR,BYYWPW6,"89,696","26,759,000",0.03%
BEIJER REF AB,BP2NJ48,"2,621","62,488",0.00%
BEIJING CAPITAL CO LTD-A,BP3R7K1,"7,013,633","5,061,000",0.01%
BEIJING KINGSOFT OFFICE SO-A,BNR4NQ2,"17,298","1,089,841",0.00%
BEIJING NEW BUILDING MATER-A,BD5CJ26,"641,585","4,278,189",0.01%
BEIJING ORIENTAL YUHONG-A,BD5CFP1,"307,837","879,053",0.00%
BEIJING SEEYON INTERNET SO-A,BNHPN43,"90,196","398,248",0.00%
BEIJING ULTRAPOWER SOFTWARE-A,BD5CLJ7,"2,251,136","5,739,905",0.01%
BELLEVUE GOLD LTD BGL,BFZ31P0,"11,189,029","12,587,658",0.02%
Beluga Group PJSC,B57QZY4,"354,735",0,0.00%
BENDIGO AND ADELAIDE BANK,6091280,"1,832,649","24,007,701",0.03%
BENTLEY SYSTEMS INC-CLASS B BSY,BMC1PR6,"2,535","191,181",0.00%
BERKELEY GROUP HOLDINGS/THE,BP0RGD0,"4,592","362,215",0.00%
BERKLEY W R CORP COM,2093644,"2,712","256,317",0.00%
BERKSHIRE HATHAWAY INC-CL B CLASS'B'COM,2073390,"51,894","37,991,558",0.05%
BEST BUY INC COM,2094670,"1,672","231,669",0.00%
BESTECHNIC SHANGHAI CO LTD-A,BNHPNS7,"7,860","562,639",0.00%
BETMAKERS TECHNOLOGY GROUP L BET,BJDXBQ1,"10,549,167","1,107,663",0.00%
BHARTI AIRTEL LIMITED,6442327,"2,315,673","69,359,573",0.08%
BHP GROUP LTD,6144690,"23,355,021","923,691,071",1.13%
BID CORP LTD BID,BZBFKT7,"237,702","8,760,050",0.01%
BIOGEN INC,2455965,"1,347","332,768",0.00%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,2437071,"2,070","219,791",0.00%
BIOMERIEUX,BF0LBX7,729,"126,124",0.00%
BIONTECH SE-ADR,BK6H543,"173,706","31,969,371",0.04%
