Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
EAST MONEY INFORMATION CO-A,BD5CPC8,"386,926","2,197,877",0.00%
EASTMAN CHEM CO COM,2298386,944,"139,213",0.00%
EASTROC BEVERAGE GROUP CO -A,BP91NL0,"300,959","16,454,616",0.02%
EBAY INC COM,2293819,"4,664","466,655",0.00%
EBOS GROUP LTD EBO,BH36SD2,"287,373","9,767,823",0.01%
ECOLAB INC COM,2304227,"2,430","919,738",0.00%
EDENRED EUR2,B62G1B5,"2,229","118,350",0.00%
EDISON INTL COM,2829515,"3,194","411,881",0.00%
EDP RENOVAVEIS SA EUR5,B39GNW2,"4,720","79,253",0.00%
EDWARDS LIFESCIENCES C COM,2567116,"511,856","61,201,170",0.07%
EIFFAGE,B13X013,380,"53,835",0.00%
EISAI CO LTD,6307200,"3,159","140,526",0.00%
ELDERS LTD,6357852,"2,756,037","19,733,228",0.02%
ELECTRICIDADE DE PORTUGAL SA,4103596,"13,748","71,072",0.00%
ELECTRONIC ARTS INC COM,2310194,"287,528","67,940,506",0.08%
ELEMENT FINANCIAL CORP ELEMENT FINANCIAL,B7FNMQ2,"3,449","112,553",0.00%
ELEVANCE HEALTH INC,BSPHGL4,"24,547","14,625,544",0.02%
ELF BEAUTY INC ELF,BDDQ975,"190,085","38,545,024",0.05%
ELI LILLY & CO,2516152,"77,778","96,978,980",0.12%
ELIA GROUP SA/NV,B09M9F4,-30,"-3,792",0.00%
ELISA CORP SHS,5701513,269,"18,822",0.00%
EMAAR PROPERTIES PJSC,B01RM25,"3,826,179","21,619,477",0.03%
EMCOR GROUP INC COM,2474164,317,"232,738",0.00%
EMECO HOLDINGS LTD NPV,B1978V5,"13,577,421","12,423,341",0.02%
EMERA INC COM NPV,2650050,"1,710","103,154",0.00%
EMERALD RESOURCES NL,6107381,"22,755","73,953",0.00%
EMERSON ELEC CO COM,2313405,"5,548","1,110,543",0.00%
EMPIRE CO LTD 'A' CLASS'A'N/VTG COM NPV,2314000,"1,068","52,631",0.00%
EMPRESA BRAS DE AERONAUTICA COM NPV,B16FPG6,"1,016,278","14,929,295",0.02%
EMS-CHEMIE HOLDING AG CHF0.01(REGD)(POST,7635610,31,"33,506",0.00%
EN JAPAN INC,6352750,"533,373","11,626,088",0.01%
EN+ GROUP INTERNATIONAL PJSC,BJ9NFD0,"130,805",0,0.00%
ENBRIDGE INC,2466149,"18,681","1,279,931",0.00%
ENCOMPASS HEALTH CORP,BYX2YJ7,"79,167","11,808,167",0.01%
ENDAVA PLC- SPON ADR DAVA,BZ0WK66,"464,147","23,164,270",0.03%
ENDEAVOUR GROUP LTD/AUSTRALI,BNVS144,"8,535,158","35,847,662",0.04%
ENDEAVOUR MINING PLC,BL6K5J4,"2,461","70,925",0.00%
ENDESA SA,5271782,"4,221","146,622",0.00%
ENEL,7144569,"72,694","837,188",0.00%
ENEOS HOLDINGS INC,B627LW9,"18,733","159,073",0.00%
ENGIE,B0C2CQ3,"20,383","521,912",0.00%
ENHABIT INC-W/I,BQFMQ93,"892,810","11,261,970",0.01%
ENI SPA,7145056,"26,869","588,227",0.00%
ENPHASE ENERGY INC ENPH,B65SQW4,"199,076","22,082,776",0.03%
ENPRO INC,2951292,"14,836","4,132,117",0.01%
ENTAIN PLC,B5VQMV6,"6,158","85,602",0.00%
ENTEGRIS INC COM,2599700,"1,610","257,532",0.00%
ENTERGY CORP NEW COM,2317087,"3,166","387,658",0.00%
ENVIRONMENTAL GROUP LTD/THE,6206653,"5,295,307","1,668,022",0.00%
ENVISTA HOLDINGS CORP,BK63SF3,"831,914","25,918,805",0.03%
EOG RES INC COM,2318024,"5,594","1,107,604",0.00%
EOPTOLINK TECHNOLOGY INC L-A,BD761B9,"26,236","667,117",0.00%
EPAM SYSTEMS INC EPAM SYSTEMS INC,B44Z3T8,"20,956","7,913,881",0.01%
EPIROC AB-A,BMD58R8,"2,827","79,574",0.00%
EPIROC AB-B,BMD58W3,"7,030","177,149",0.00%
EQT AB,BJ7W9K4,"2,081","93,132",0.00%
EQT CORP,2319414,"5,922","441,066",0.00%
EQT HOLDINGS LTD,BD5WNY6,"325,883","10,428,266",0.01%
EQUIFAX INC COM,2319146,"1,085","446,723",0.00%
EQUINIX INC COM NPV,BVLZX12,986,"1,501,888",0.00%
EQUINOR ASA,7133608,"9,531","359,732",0.00%
EQUITABLE HOLDINGS INC,BKRMR96,"3,105","236,573",0.00%
EQUITY LIFESTYLE PROPERTIES COM USD0.01,2563125,"2,077","223,366",0.00%
EQUITY RESIDENTIAL SBI USD0.01,2319157,"3,359","389,351",0.00%
ERICSSON LM-B SHS,5959378,"33,235","436,644",0.00%
ERIE INDEMNITY COMPANY-CL A CLASS'A' COM,2311711,352,"234,618",0.00%
ERSTE GROUP BANK AG,5289837,"293,665","29,301,489",0.04%
ESSENTIAL UTILITIES INC,BLCF3J9,"4,620","271,041",0.00%
ESSENTRA PLC,B074435,"3,459,934","9,308,219",0.01%
ESSEX PROPERTY TRUST INC COM USD0.0001,2316619,759,"349,948",0.00%
ESSILORLUXOTTICA,7212477,"2,595","1,022,600",0.00%
ESSITY AKTIEBOLAG-B,BF1K7P7,"5,294","228,823",0.00%
EURAZEO SE,7042395,107,"12,923",0.00%
EUROFINS SCIENTIFIC,BNDPYV1,"1,287","106,114",0.00%
EURONEXT NV ENX,BNBNSG0,"302,977","54,877,236",0.07%
EVEREST GROUP LTD,2556868,302,"177,055",0.00%
EVERGY INC,BFMXGR0,"2,022","201,055",0.00%
EVERSOURCE ENERGY,BVVN4Q8,"3,510","325,576",0.00%
EVOLUTION AB,BJXSCH4,"1,496","186,544",0.00%
EVOLUTION MINING LTD,B3X0F91,"21,483,586","103,336,051",0.13%
EVONIK INDUSTRIES AG EVONIK INDUSTRIES A,B5ZQ9D3,"3,791","106,079",0.00%
EVT LTD,BDG0N49,"818,570","9,315,325",0.01%
EXACT SCIENCES CORP COM USD0.01,2719951,"156,699","14,220,965",0.02%
EXELON CORP COM,2670519,"9,161","556,913",0.00%
EXOR NV,BMJ1825,531,"78,692",0.00%
EXPAND ENERGY CORP,BMZ5LZ5,"2,015","323,984",0.00%
EXPEDIA INC-W/I COM,B748CK2,"2,013","605,895",0.00%
EXPEDITORS INTL WASH INC COM,2325507,"1,824","326,244",0.00%
EXPERIAN PLC,B19NLV4,"8,469","590,167",0.00%
EXTRA SPACE STORAGE INC COM USD0.01,B02HWR9,"1,938","468,278",0.00%
EXXON MOBIL CORP COM,2326618,"174,928","30,391,613",0.04%
EZAKI GLICO CO LTD NPV,6327703,"77,375","3,732,531",0.00%
F5 INC,2427599,477,"193,643",0.00%
FACTSET RESEARCH SYSTEMS INC COM USD0.01,2329770,"60,467","46,904,899",0.06%
FAIR ISAAC & CO INC COM,2330299,236,"759,903",0.00%
FAIRFAX FINANCIAL HLDGS LTD,2566351,"6,292","14,132,654",0.02%
FALCON METALS LTD/AUSTRALIA,BMDVXZ9,"334,903","38,514",0.00%
FANUC CORP,6356934,"8,734","374,720",0.00%
FARASIS ENERGY GAN ZHOU CO-A,BNHPNL0,"130,159","332,164",0.00%
FAST RETAILING CO LTD NPV,6332439,"1,703","941,878",0.00%
FASTENAL CO,2332262,"4,952","575,098",0.00%
FASTIGHETS AB BALDER-B SHRS,BPMRNZ9,"5,027","56,437",0.00%
FAURECIA EUR7,4400446,"3,238","47,003",0.00%
FEDEX CORP COM,2142784,"2,456","1,116,185",0.00%
FERGUSON ENTERPRISES INC,BS6VHW3,"47,917","13,432,902",0.02%
FERRARI NV RACE,BD6G507,"1,323","912,383",0.00%
FERROGLOBE PLC,BYW6GV6,"2,495,644","15,316,880",0.02%
FERROGLOBE REPRESENTSTION &,BBG00F9W7QW6 (Bloomberg),"6,587",0,0.00%
FERROVIAL SE,BRS7CF0,"4,062","275,846",0.00%
FICONT INDUSTRY BEIJING IN-A,BMF7P04,"5,019","31,282",0.00%
FIDELITY NATIONAL INFO SERV,2769796,"324,619","42,347,575",0.05%
FIFTH THIRD BANCORP COM,2336747,"5,557","379,493",0.00%
FINECOBANK SPA,BNGN9Z1,"12,932","363,124",0.00%
FIREFINCH LTD,BKPJ9T3,"10,154,776","2,030,955",0.00%
FIREFLY METALS LTD,BPDXXB2,"7,371,006","6,818,180",0.01%
FIRST ABU DHABI BANK PJSC,6624471,"3,073,096","18,566,909",0.02%
FIRST CITIZENS BCSHS  -CL A,2355582,119,"407,596",0.00%
FIRST QUANTUM MINERALS LTD COM,2347608,"464,385","9,663,595",0.01%
FIRST SOLAR INC COM STK USD0.001,B1HMF22,"1,074","305,575",0.00%
FIRSTCASH HOLDINGS INC,BMF5Q83,"17,334","2,900,440",0.00%
FIRSTENERGY CORP COM,2100920,"4,471","287,228",0.00%
FIRSTSERVICE CORP,BJMKSJ5,-99,"-28,971",0.00%
FISERV INC,2342034,"158,702","52,653,850",0.06%
FISHER & PAYKEL HEALTHCARE C,6340250,"6,255","217,354",0.00%
FISHER & PAYKEL HEALTHCARE C NPV,6423968,"5,000,471","174,766,461",0.21%
FLEETPARTNERS GROUP LTD,BN7HDZ0,"2,403,385","6,465,105",0.01%
FLETCHER BUILDING LTD NPV,6341617,"24,500,639","62,476,629",0.08%
FLIGHT CENTRE TRAVEL GROUP LTD,6352147,"1,674,395","27,928,902",0.03%
FLUTTER ENTERTAINMENT PLC,BWXC0Z1,"144,589","60,599,814",0.07%
FLUTTER ENTERTAINMENT PLC,BWZMZF4,"1,757","733,293",0.00%
FNF GROUP,BNBRDD4,"4,537","411,403",0.00%
FOMENTO ECONOMICO MEXICANO SAB,2246039,"75,626","10,442,192",0.01%
FORAN MINING CORPORATION,2355731,"234,535","1,035,108",0.00%
FORD MOTOR CO,2615468,"37,401","598,030",0.00%
FORTESCUE LTD,6086253,"4,922,242","89,830,908",0.11%
FORTINET INC COM USD0.001,B5B2106,"6,526","995,792",0.00%
FORTIS INC COM NPV,2347200,"4,579","307,173",0.00%
FORTUM OYJ,5579550,"5,410","122,278",0.00%
FORTUNE BRANDS HOME & SECURI USD0.01,B3MC7D6,"189,627","20,927,438",0.03%
FOX CORP - CLASS A - W/I,BJJMGL2,"2,977","233,545",0.00%
FOX CORP- CLASS B,BJJMGY5,862,"63,668",0.00%
FOXCONN INDUSTRIAL INTERNE-A,BG20N99,"858,982","4,062,957",0.00%
FOXTONS GROUP PLC FOXT,BCKFY51,"8,007,737","11,176,507",0.01%
FRANCO-NEVADA CORP COM NPV,B29NF31,"1,504","285,327",0.00%
FRANKLIN RESOURCES INC,2350684,"4,107","134,575",0.00%
FRASERS GROUP PLC,B1QH8P2,"121,242","1,493,544",0.00%
FREEPORT-MCMORAN INC,2352118,"599,477","36,870,062",0.05%
FRESENIUS MEDICAL CARE AG,5129074,"2,400","177,260",0.00%
FRESENIUS SE & CO KGAA,4352097,"3,569","200,209",0.00%
FUJI ELECTRIC CO LTD,6356365,"2,903","255,311",0.00%
FUJI MEDIA HOLDINGS INC,6036582,"293,229","5,217,849",0.01%
FUJIAN FOXIT SOFTWARE DEVE-A,BQWRBS5,"60,438","892,979",0.00%
FUJIFILM HOLDINGS CORP,6356525,"9,433","320,766",0.00%
FUJIKURA LIMITED,6356707,"2,274","153,058",0.00%
FUTU HOLDINGS LTD-ADR,BGK4T39,567,"73,262",0.00%
FUYAO GROUP GLASS INDUSTR-A,BP3R6K4,"702,930","9,649,755",0.01%
G5 ENTERTAINMENT AB G5EN,B1FP6W0,"25,298","406,765",0.00%
G8 EDUCATION LTD NPV,B296314,"53,727,495","70,114,381",0.09%
GALAXY ENTERTAINMENT GROUP L,6465874,"26,641","182,791",0.00%
GALDERMA GROUP AG,BRC2T72,802,"143,853",0.00%
GALP ENERGIA SGPS SA-B SHRS,B1FW751,"4,241","113,140",0.00%
GAMING AND LEISURE PROPE-W/I COM USD0.01,BFPK4S5,"3,396","264,181",0.00%
GARMIN LTD,B3Z5T14,"1,783","594,090",0.00%
GARTNER INC COM STK USD0.0005,2372763,771,"603,263",0.00%
GATES INDUSTRIAL CORP PLC GTES,BD9G2S1,"837,398","27,820,839",0.03%
GAZPROM OAO GAZP,B59L4L7,"200,902",0,0.00%
GAZTRANSPORT ET TECHNIGA-W/I EUR0.01,BJYRDP5,"58,739","12,633,442",0.02%
GD POWER DEVELOPMENT CO -A,BP3R3J2,"1,776,832","1,790,323",0.00%
GDI PROPERTY GROUP NPV(STAPLED UNITS),BHB0NV9,"11,658,295","6,703,520",0.01%
GE HEALTHCARE TECHNOLOG-W/I,BL6JPG8,"4,426","558,880",0.00%
GE VERNOVA LLC,BP6H4Y1,"2,573","1,367,136",0.00%
GEA GROUP AG AKT,4557104,"2,664","213,036",0.00%
GEBERIT AG-REG CHF1(REGD),B1WGG93,341,"312,936",0.00%
GECINA SA EUR7.50,7742468,164,"24,758",0.00%
GEM DIAMONDS LTD ORD USD0.01 (DI),B1P8H48,"2,400,665","534,160",0.00%
GEN DIGITAL INC,BJN4XN5,"4,887","216,096",0.00%
GENERAL ELECTRIC CO,BL59CR9,"47,219","12,720,219",0.02%
GENERAL MLS INC COM,2367026,"5,490","565,436",0.00%
GENERAL MOTORS CO,B665KZ5,"14,399","1,238,823",0.00%
GENERATION DEVELOPMENT GROUP,BF42CQ6,"2,436,125","8,770,052",0.01%
GENESIS MINERALS LTD,B23G0X1,"33,735,578","83,326,878",0.10%
GENMAB A/S DKK1 (BEARER),4595739,677,"226,487",0.00%
GENPACT LTD COM STK USD0.01,B23DBK6,"250,040","17,345,086",0.02%
GENTING MALAYSIA BHD,B1VXKN7,"4,209,615","3,436,391",0.00%
GENTING SINGAPORE LTD GRNS,BDRTVP2,"104,106","94,290",0.00%
GENTRACK GROUP LTD GTK,BNJZLK3,"493,179","5,715,939",0.01%
GENUINE PARTS CO COM,2367480,"1,320","248,980",0.00%
GENUSPLUS GROUP LTD,BMCQZF9,"1,088,975","2,853,114",0.00%
GETINGE AB-B SHS SER'B'NPV,7698356,"2,919","77,461",0.00%
GF SECURITIES CO LTD-A,BD5CQ36,"3,595,589","12,822,497",0.02%
GFL ENVIRONMENTAL INC-SUB VT,BKDT649,"1,884","135,563",0.00%
GIANTEC SEMICONDUCTOR CORP-A,BNHNC73,"4,528","58,293",0.00%
GIGADEVICE SEMICONDUCTOR B-A,BHWLWF8,"10,266","241,215",0.00%
GILDAN ACTIVEWEAR INC,2254645,"3,178","241,466",0.00%
GILEAD SCIENCES INC COM,2369174,"11,845","1,767,187",0.00%
GIVAUDAN-REG ORD,5980613,83,"590,072",0.00%
GJENSIDIGE FORSIKRING ASA NOK2,B4PH0C5,"1,163","33,230",0.00%
GLENCORE PLC,B4T3BW6,"1,573,517","11,248,258",0.01%
GLOBAL PAYMENTS INC COM STK USD0.001,2712013,"73,916","13,378,079",0.02%
GLOBAL-E ONLINE LTD,BN770J3,909,"80,040",0.00%
GLOBALWAFERS CO LTD,BS7JP33,"457,801","8,604,072",0.01%
GLOBE TELECOM INC,6284864,"52,033","3,173,103",0.00%
GLOBUS MEDICAL INC - A GLOBUS MEDICAL IN,B7D65M0,"219,319","29,298,050",0.04%
GLODON CO LTD-A,BD5CK01,"378,865","980,192",0.00%
GMO PAYMENT GATEWAY INC NPV,B06CMQ9,"191,718","15,704,979",0.02%
GODADDY INC - CLASS A GDDY,BWFRFC6,"2,130","678,972",0.00%
GOERTEK INC -A,BD5CNT1,"420,995","2,390,475",0.00%
GOLAR LNG LTD COM STK USD1.00,2367963,"130,590","8,926,088",0.01%
GOLD FIELDS LTD ZAR0.50,6280215,"249,403","5,274,787",0.01%
GOLD ROAD RESOURCES LTD NPV,B15F5K1,"42,650","87,433",0.00%
GOLDEN OCEAN GROUP LTD,BYN8774,"325,781","4,714,530",0.01%
GOLDMAN SACHS GROUP IN COM,2407966,"3,222","2,979,613",0.00%
GOODMAN GROUP,B03FYZ4,"8,248,498","293,976,458",0.36%
GPT GROUP NPV (STAPLED SECURITIES),6365866,"2,785,490","12,172,593",0.01%
GRAB HOLDINGS LTD - CL A,BP6NH40,"19,018","144,984",0.00%
GRACO INC COM,2380443,"2,564","348,998",0.00%
GRAINCORP LTD-A,6102331,"491,284","3,606,022",0.00%
GRAINGER (W.W) INC COM,2380863,426,"726,077",0.00%
GREAT WALL MOTOR CO LTD-A,BP3R325,"238,711","1,382,745",0.00%
GREAT WALL MOTOR COMPANY-H,6718255,"9,635,117","27,365,605",0.03%
GREAT-WEST LIFECO INC COM,2384951,"3,984","213,270",0.00%
GREE ELECTRIC APPLIANCES I-A,BD5CPN9,"313,950","3,139,162",0.00%
GRIFOLS SA,BYY3DX6,"2,245","34,342",0.00%
GROUPE BRUXELLES LAMBERT SA NPV,7097328,"1,758","194,224",0.00%
GROUPE EUROTUNNEL SE,B292JQ9,"2,206","56,843",0.00%
GROWTHPOINT PROPERTIES AUSTRALIA,B1Y9BC8,"3,385,003","8,056,306",0.01%
GRUPO AEROPORTUARIO DEL-B SH SER 'B' NPV,B0ZV104,"2,975,516","84,718,595",0.10%
GRUPO CARSO SAB DE CV-SER A1 COM SER'A1',2393452,"202,114","1,809,863",0.00%
GRUPO FINANCIERO BANORTE SAB D,2421041,"5,945,848","61,875,172",0.08%
GRUPO MEXICO SAB DE CV-SER B SER'B'COM N,2643674,"2,632,351","20,228,650",0.02%
GSK PLC,BN7SWP6,"38,425","1,046,577",0.00%
GUANGDONG HAID GROUP CO-A,BD5CJ60,"83,775","904,005",0.00%
GUANGDONG LY INTELLIGENT M-A,BD5LQY4,"869,366","1,530,073",0.00%
GUANGXI LIUGONG MACHINERY-A,BD5C904,"2,190,685","5,812,283",0.01%
GUANGZHOU GUANGRI STOCK CO-A,BYQDMB5,"13,080","42,013",0.00%
GUARDIAN MEDICAL SOLUTIONS LIMITED,MFSS000000280807,"203,587","5,700",0.00%
GUOTAI EPOINT SOFTWARE CO -A,CNE100004ZF3 (ISIN),"3,684","23,494",0.00%
GUOTAI JUNAN SECURITIES CO-A,BYQDMZ9,"41,826","171,610",0.00%
GUOYUAN SECURITIES CO LTD-A,BD5CNY6,"2,214,710","4,073,264",0.00%
GUZMAN Y GOMEZ LTD,BSLTT82,"722,205","29,299,867",0.04%
GWA GROUP LTD,6392949,"102,770","248,703",0.00%
HAFNIA LTD,SGXZ53070850 (ISIN),"2,215,371","19,139,093",0.02%
HAIDLAO INTERNATIONAL HOLDI,BGN9715,"484,260","1,600,931",0.00%
HAIER SMART HOME CO LTD-A,BP3R3G9,"1,663,675","10,420,183",0.01%
HAIER SMART HOME CO LTD-H,BLD4QD0,"2,848,405","16,286,653",0.02%
HAITIAN INTERNATIONAL HLDGS,B1L2RC2,"4,354,629","19,104,294",0.02%
HAITONG SECURITIES CO LTD-A,BP3R2S4,"60,685","148,459",0.00%
HAL TRUST UNITS NPV,4402839,"10,169","1,962,716",0.00%
HALEON PLC,BMX86B7,"65,134","497,232",0.00%
HALLIBURTON CO COM,2405302,"8,742","383,919",0.00%
HALMA PLC ORD GBP0.10,405207,"3,303","179,656",0.00%
HANG LUNG PROPERTIES LTD,6030506,"14,016,927","18,156,756",0.02%
HANG SENG BANK,6408374,"6,573","130,589",0.00%
HANGZHOU ELECTRONIC SOUL N-A,CNE100002GB6 (ISIN),"14,601","63,890",0.00%
HANGZHOU GREATSTAR INDUSTRIA,BD5CG70,"791,913","5,636,004",0.01%
HANKYU HANSHIN HOLDINGS INC,6408664,"2,068","87,476",0.00%
HANNOVER RUECK SE,4511809,662,"267,122",0.00%
HANSEN TECHNOLOGIES LTD NPV,6243252,"165,701","886,501",0.00%
HANSOH PHARMACEUTICAL GROUP,BJYKB72,"1,644,130","5,907,139",0.01%
HARGREAVES LANSDOWN PLC ORD GBP0.004,B1VZ0M2,"3,042","67,566",0.00%
HARTFORD FINL SVCS GRO COM,2476193,"3,559","628,857",0.00%
HARVEY NORMAN HOLDINGS LTD SHS,6173508,"24,499","114,410",0.00%
HCA HEALTHCARE INC,B4MGBG6,"70,866","34,354,298",0.04%
HCL TECHNOLOGIES LTD,6294896,"620,543","22,445,612",0.03%
HDFC BANK LIMITED,BK1N461,"657,683","21,995,582",0.03%
HDFC BANK LTD-ADR ADR REPS 3 SHS,2781648,"1,365,545","140,844,242",0.17%
HEALIUS LTD,BFZYRL1,"40,636,189","55,671,578",0.07%
HEALTHPEAK PROPERTIES INC,BJBLRK3,"10,072","329,754",0.00%
HEIDELBERG MATERIALS AG,5120679,"1,283","256,047",0.00%
HEILAN HOME CO LTD -A 600398,BS7K3T8,"2,651,674","4,375,231",0.01%
HEINEKEN HOLDING NV -A,B0CCH46,"1,181","114,249",0.00%
HEINEKEN NV,7792559,"206,238","23,696,247",0.03%
HELIA GROUP LTD,BP5HL07,"86,934","388,596",0.00%
HELIOS TOWERS PLC HTWS,BJVQC70,"2,377,634","4,400,614",0.01%
HELVETIA HOLDING AG-REG,BK6QWF0,367,"97,612",0.00%
HENAN PINGGAO ELECTRIC CO-A,BP3R734,"1,404,963","5,934,519",0.01%
HENAN SHENHUO COAL & POWER-A,BD6QWQ2,"97,036","360,776",0.00%
HENDERSON LAND DEVELOPMENT,6420538,"96,881","475,387",0.00%
Henkel AG and CO KGAA,5002465,"1,988","247,391",0.00%
Henkel AG and Co KGAA,5076705,"1,025","145,188",0.00%
HENNES & MAURITZ AB-B SHS,5687431,"8,667","188,887",0.00%
HENRY SCHEIN INC COM USD0.01,2416962,"1,095","122,352",0.00%
HERMES INTERNATIONAL S ACT,5253973,"9,635","37,415,593",0.05%
HERSHEY FOODS CORP COM,2422806,"1,350","369,367",0.00%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,BYVYWS0,"12,146","418,818",0.00%
HEXAGON AB-B SHS,BNZFHC1,"25,737","397,285",0.00%
HEXING ELECTRICAL CO LTD-A 603556,BYW5QY6,"293,730","2,390,295",0.00%
HF SINCLAIR CORP,BMZQ9C1,861,"48,724",0.00%
HIKARI TSUSHIN INC,6416322,"62,119","22,011,669",0.03%
HIKMA PHARMACEUTICALS PLC,B0LCW08,-289,"-11,666",0.00%
HI-LEX CORP,6643476,"58,279","924,747",0.00%
HILTON WORLDWIDE HLDGS - W/I HLT-W,BYVMW06,"2,517","1,004,794",0.00%
HIMALAYA SHIPPING LTD,BMW64P2,"136,040","1,067,844",0.00%
HIMALAYA SHIPPING LTD,BN957G1,"109,180","852,400",0.00%
HINDUSTAN AERONAUTICS LTD,BR56KD4,"176,901","13,943,863",0.02%
HISCOX LTD,BVZHXQ9,"36,334","795,955",0.00%
HISENSE ELECTRIC CO LTD-A,BP3R7F6,"259,548","1,138,575",0.00%
HISENSE HOME APPLIANCES G-A,BD5M2M7,"716,233","4,553,776",0.01%
HITACHI CONSTRUCTION MACHINE,6429405,"2,405","86,915",0.00%
HITACHI LIMITED COM,6429104,"285,349","11,545,261",0.01%
HIWIN TECHNOLOGIES CORP TWD10,B1YMYT5,"2,772,663","44,939,202",0.05%
HKT TRUST AND HKT SHARE STAPLED UNIT,B4TXDZ3,"56,868","113,510",0.00%
HL MANDO CO LTD,BQJZQJ8,"439,310","19,592,279",0.02%
HMC CAPITAL LTD,BJRBL61,"3,917,741","38,628,922",0.05%
HOKUETSU CORP,6433105,"592,416","9,308,853",0.01%
HOLCIM LTD,7110753,"4,502","700,895",0.00%
HOLMEN AB-B SHARES,BDQQ1Q5,"1,792","106,402",0.00%
HOLOGIC INC COM USD0.01,2433530,"1,964","228,639",0.00%
HOME DEPOT INC COM,2434209,"9,580","6,018,625",0.01%
HOMECO DAILY NEEDS REIT,BNC0NF4,"830,131","950,501",0.00%
HON HAI PRECISION INDS ORD,6438564,"2,793,196","25,319,303",0.03%
HONDA MOTOR CO LTD,6435145,"41,109","648,491",0.00%
HONG KONG & CHINA GAS,6436557,"85,797","110,780",0.00%
HONG KONG EXCHANGES & CLEAR,6267359,"481,815","29,532,823",0.04%
HONG LEONG FINANCIAL GROUP BERHAD,6436450,"134,991","902,044",0.00%
HONGKONG & SHANGHAI HO,6436386,"7,036,316","9,099,826",0.01%
HONGKONG LAND HOLDINGS LTD ORD USD0.10(S,6434915,"17,482","125,645",0.00%
HORIZON ROBOTICS INC,KYG4602S1057 (ISIN),"11,198,310","8,382,091",0.01%
HORMEL FOODS CORP COM USD0.0586,2437264,"3,610","182,882",0.00%
HOSHIZAKI CORPORATION,B3FF8W8,271,"17,461",0.00%
HOSIDEN CORP HOSIDEN CORP,6439813,"123,509","2,934,599",0.00%
HOSKEN CONS INVESTMENTS LTD ZAR0.25,6439738,"1,192,598","16,740,517",0.02%
HOST HOTELS & RESORTS INC COM STK USD0.0,2567503,"6,428","181,891",0.00%
HOTEL PROPERTY INVESTMENTS HPI,BGSHGN9,"316,206","1,185,773",0.00%
HOULIHAN LOKEY INC HLI,BYQ3PM7,"49,844","13,980,195",0.02%
HOWDEN JOINERY GROUP PLC,557681,"364,109","5,844,205",0.01%
HOWMET AEROSPACE INC,BKLJ8V2,"189,790","33,525,561",0.04%
HOYA CORP,6441506,"204,170","41,576,541",0.05%
HOYUAN GREEN ENERGY CO LTD-A,BK94808,"93,614","334,666",0.00%
HP INC,BYX4D52,"10,331","544,454",0.00%
HSBC HOLDINGS ORD SHS,540528,"188,168","2,989,011",0.00%
HUA HONG SEMICONDUCTOR LTD,BRB3857,"816,742","3,676,546",0.00%
HUATAI SECURITIES CO LTD-A,BP3R3B4,"3,888,861","15,049,004",0.02%
HUAXIA BANK CO LTD-A,BP3R2T5,"5,585,327","9,842,390",0.01%
HUB24 LTD,BD4T5X1,"676,210","47,064,211",0.06%
HUBBELL INC -CL B,BDFG6S3,576,"389,865",0.00%
HUBSPOT INC HUBS,BR4T3B3,"15,347","17,270,678",0.02%
HULIC CO LTD,6805317,"10,851","152,768",0.00%
HUMANA INC,2445063,"1,193","488,891",0.00%
HUNDSUN ELECTRONIC CO LTD-A,BP3R6B5,"93,537","575,981",0.00%
HUNT J B TRANS COM,2445416,973,"268,166",0.00%
HUNTINGTON BANCSHARES COM,2445966,"16,013","420,792",0.00%
HYATT HOTELS CORP - CL A COM USD0.01 CLA,B5B82X4,691,"175,132",0.00%
HYDRO ONE LTD H,BYYXJY9,"2,830","140,706",0.00%
HYGON INFORMATION TECHNOLO-A,BQZDHW6,"30,857","1,016,864",0.00%
HYUNDAI GLOVIS CO LTD,B0V3XR5,"86,178","11,166,000",0.01%
IA FINANCIAL CORP INC,BJ2ZH37,597,"89,452",0.00%
IBERDROLA SA,B288C92,"57,207","1,272,485",0.00%
ICHIGO INC,6549767,"3,452,320","13,340,153",0.02%
ICICI BANK LTD,BSZ2BY7,"3,227,163","78,025,640",0.10%
ICON PLC,B94G471,"226,729","76,794,511",0.09%
IDEMITSU KOSAN CO LTD NPV,B1FF8P7,"4,871","51,838",0.00%
IDEX CORP USD0.01,2456612,615,"207,802",0.00%
IDEXX LABORATORIES INC COM USD0.10,2459202,"17,803","11,887,806",0.01%
IDP EDUCATION LTD IEL,BDB6DD1,"6,648,035","83,964,682",0.10%
IGM FINANCIAL INC,2469375,108,"5,563",0.00%
IGO LTD,6439567,"13,632,981","65,029,320",0.08%
IHEARTMEDIA INC - CLASS A IHTM,BJVR9Y9,414,"1,324",0.00%
ILLINOIS TOOL WKS INC COM,2457552,"2,865","1,173,278",0.00%
ILLUMINA INC COM USD0.01,2613990,"1,319","284,705",0.00%
ILUKA RESOURCES LIMITED NPV,6957575,"4,115,224","20,781,882",0.03%
IMCD GROUP NV IMCD,BNCBD46,427,"102,591",0.00%
IMDEX LIMITED NPV,6462154,"1,092,725","2,535,123",0.00%
