SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,,,8578285,0.23%
SPARK FINANCE LTD,,,1277173,0.03%
STOCKLAND TRUST MANAGEMENT LTD,,,1117078,0.03%
SUNCORP-METWAY LTD,,,22548432,0.59%
TASMANIAN PUBLIC FINANCE CORP,,,714441,0.02%
TEACHERS MUTUAL BANK LTD,,,415024,0.01%
TELSTRA GROUP LTD,,,1794702,0.05%
TORONTO-DOMINION BANK,,,3997882,0.11%
TORRENS SERIES 2021-1 TRUST,,,2381,0.00%
TRANSPOWER NEW ZEALAND LTD,,,907335,0.02%
TRANSURBAN QUEENSLAND FINANCE PTY LTD,,,35983,0.00%
TREASURY CORPORATION OF VICTORIA,,,44852022,1.18%
TRITON BOND TRUST 2021-2,,,8471,0.00%
TRITON BOND TRUST 2023-1,,,21814,0.00%
TRITON BOND TRUST 2024-1,,,2031165,0.05%
TRITON BOND TRUST 2024-3,,,432591,0.01%
UBS AG (SYDNEY BRANCH),,,2231841,0.06%
UNITED ENERGY DISTRIBUTION PTY LTD,,,1001033,0.03%
VERIZON COMMUNICATIONS INC,,,472140,0.01%
VICINITY CENTRES RE LTD,,,1961639,0.05%
VICINITY CENTRES TRUST,,,1988564,0.05%
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,,,491453,0.01%
WELLS FARGO & CO,,,1256387,0.03%
WESFARMERS LTD,,,912437,0.02%
WESTCONNEX FINANCE COMPANY PTY LTD,,,647497,0.02%
WESTERN AUSTRALIAN TREASURY CORP,,,1164172,0.03%
WESTPAC BANKING CORPORATION,,,35932002,0.95%
WOOLWORTHS GROUP LTD,,,2761351,0.07%
WSO FINANCE PTY LTD,,,1864000,0.05%
TOTAL,,,944146517,24.91%
FIXED INCOME,,,,
Investment in non associated entities,,,,
Held directly or by associated entities or by PSTs,,,,
Externally Managed,,,,
NAME OF FUND MANAGER,,,VALUE (AUD),WEIGHTING (%)
COOLABAH CAPITAL INSTITUTIONAL INVESTMENTS PTY LIMITED,,,204769819,5.40%
JAMIESON COOTE BONDS PTY LTD,,,48995507,1.29%
MACQUARIE INVESTMENT MANAGEMENT GLOBAL LIMITED,,,102229696,2.70%
MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED,,,78362150,2.07%
"PGIM, INC.",,,93818845,2.48%
REVOLUTION ASSET MANAGEMENT PTY LTD,,,59938874,1.58%
TOTAL,,,588114891,15.52%
LISTED EQUITY,,,,
Name/kind of investment item,SECURITY IDENTIFIER,UNITS HELD,VALUE (AUD),WEIGHTING (%)
360 DIGITECH INC,US88557W1018        ,6440,399193,0.01%
3I GROUP PLC,GB00B1YW4409        ,293,21124,0.00%
3M CO,US88579Y1010        ,281,58619,0.00%
4D MOLECULAR THERAPEUTICS INC,US35104E1001        ,980,8821,0.00%
4IMPRINT GROUP PLC,GB0006640972        ,15,1497,0.00%
89BIO INC,US2825591033        ,2881,36391,0.00%
A P MOLLER MAERSK AS,DK0010244425        ,1,2239,0.00%
A P MOLLER-MAERSK B,DK0010244508        ,1,3401,0.00%
A2 MILK COMPANY LTD,NZATME0002S8        ,18946,109506,0.00%
AAC TECHNOLOGIES,KYG2953R1149        ,32736,255246,0.01%
ABB INDIA LTD,INE117A01022        ,680,88675,0.00%
ABB LTD,CH0012221716        ,818,71479,0.00%
ABBOTT LABS,US0028241000        ,5585,1020391,0.03%
ABBVIE INC COM,US00287Y1091        ,1612,462525,0.01%
ABN AMRO BANK N V DR EACH REP SHS,NL0011540547        ,199,4950,0.00%
ABN AMRO BK AMSTM BRH UN ADR REP ORD SHS,US00080Q1058        ,585,14512,0.00%
ACCENTURE PLC,IE00B4BNMY34        ,1030,585021,0.02%
ACCOR SA,FR0000120404        ,55,4349,0.00%
ACCTON TECHNOLOGY CORPORATION,TW0002345006        ,14834,564904,0.01%
ACS ACTIVIDADES CO EUR 0.5 RFD JANUARY 2024,ES0167050915        ,66,5326,0.00%
ADDTECH AB SER B NPV,SE0014781795        ,78,3444,0.00%
ADECCO GROUP AG,CH0012138605        ,48,1914,0.00%
ADIDAS AG,DE000A1EWWW0        ,70,27577,0.00%
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016        ,27,1280,0.00%
ADMIRAL GROUP PLC,GB00B02J6398        ,78,4192,0.00%
ADOBE INC COM,US00724F1012        ,2021,1451161,0.04%
ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1,AU0000004772        ,87121,339770,0.01%
ADVANCED MICRO DEVICES,US0079031078        ,9431,1839886,0.05%
ADVANTEST CORP,JP3122400009        ,420,39657,0.00%
ADYEN NV,NL0012969182        ,499,1199446,0.03%
AECOM,US00766T1007        ,41,7055,0.00%
AEGON ORD SHS,BMG0112X1056        ,406,3888,0.00%
AEON CO LTD,JP3388200002        ,197,7466,0.00%
AERCAP HOLDINGS NV,NL0000687663        ,3307,511219,0.01%
AES CORP,US00130H1059        ,438,9110,0.00%
AFLAC INC,US0010551028        ,269,44898,0.00%
AGC INC,JP3112000009        ,55,2616,0.00%
AGEAS NPV POST SPLIT,BE0974264930        ,46,3573,0.00%
AGILENT TECHNOLOGIES INC,US00846U1016        ,151,32660,0.00%
AGNICO EAGLE MINES,CA0084741085        ,273,34488,0.00%
AGRICULTURAL BANK OF CHINA,CNE100000Q43        ,1796,1655,0.00%
AGS ORD SHS,JP3160460006        ,110,987,0.00%
AIA GROUP LTD,HK0000069689        ,96758,1132649,0.03%
AIB GROUP PLC,IE00BF0L3536        ,7255,65705,0.00%
AIB GROUP PLC UNSPONSORED ADR,US00135T1043        ,5810,101916,0.00%
AIR CANADA VAR VTG SHS NPV,CA0089118776        ,39,983,0.00%
AIR LIQUIDE,FR0000120073        ,174,45681,0.00%
AIR PROD & CHEMS INC COM USD,US0091581068        ,115,53805,0.00%
AIRASIA BHD,MYL5099OO006        ,5763,2081,0.00%
AIRBNB INC,US0090661010        ,226,47921,0.00%
AIRBUS SE,NL0000235190        ,5989,1550257,0.04%
AIRTAC INTERNATIONAL GROUP,KYG014081064        ,2556,106292,0.00%
AISIN SEIKI CO LTD,JP3102000001        ,195,3563,0.00%
AJ BELL PLC,GB00BFZNLB60        ,174,1591,0.00%
AJINOMOTO CO INC JPY,JP3119600009        ,140,9282,0.00%
AKAMAI TECHNOLOGIES,US00971T1016        ,259,40051,0.00%
AKER BP ASA NOK1,NO0010345853        ,90,2840,0.00%
AKERO THERAPEUTICS INC,US00973Y1082        ,1673,75179,0.00%
