Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,% Ownership,Units Held,Address,Value (AUD),Weighting (%)
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NEWMONT CORP.,-,NEM,AU,,36030.0,-,2145181.0,0.0012
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,PROCTER & GAMBLE CO.,-,PG,US,,7889.0,-,2136270.0,0.0012
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"NETFLIX, INC.",-,NFLX,US,,1471.0,-,2117811.0,0.0012
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,SGH LTD.,-,SGH,AU,,44761.0,-,2063938.0,0.0012
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"LIGHT & WONDER, INC.",-,LNW,AU,,14873.0,-,2039951.0,0.0012
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,DOWNER EDI LTD.,-,DOW,AU,,377341.0,-,1981040.0,0.0011
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,LENDLEASE CORP. LTD.,-,LLC,AU,,313773.0,-,1954802.0,0.0011
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,CLEANAWAY WASTE MANAGEMENT LTD.,-,CWY,AU,,728516.0,-,1930569.0,0.0011
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,SIGMA HEALTHCARE LTD.,-,SIG,AU,,713834.0,-,1870245.0,0.0011
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,COSTCO WHOLESALE CORP.,-,COST,US,,1254.0,-,1856031.0,0.0011
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,SOUTH32 LTD.,-,S32,AU,,545043.0,-,1853147.0,0.0011
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,STEADFAST GROUP LTD.,-,SDF,AU,,311754.0,-,1808170.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"MERCK & CO., INC.",-,MRK,US,,10891.0,-,1749843.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,SEEK LTD.,-,SEK,AU,,77375.0,-,1746346.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,JAMES HARDIE INDUSTRIES PLC,-,JHX,AU,,34716.0,-,1738271.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"SERVICENOW, INC.",-,NOW,US,,977.0,-,1670766.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"BERKSHIRE HATHAWAY, INC.",-,BRKB,US,,2271.0,-,1662700.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"MERCADOLIBRE, INC.",-,MELI,US,,600.0,-,1648349.0,0.001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,FORTESCUE METALS GROUP LTD.,-,FMG,AU,,89660.0,-,1636288.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,EXXON MOBIL CORP.,-,XOM,US,,9312.0,-,1617875.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,AIA GROUP LTD.,-,1299,HK,,136589.0,-,1598901.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,REA GROUP LTD.,-,REA,AU,,6826.0,-,1592676.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"ABBVIE, INC.",-,ABBV,US,,5395.0,-,1548419.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,QANTAS AIRWAYS LTD.,-,QAN,AU,,172335.0,-,1545840.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ACCENTURE PLC,-,ACN,US,,2677.0,-,1521240.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,TREASURY WINE ESTATES LTD.,-,TWE,AU,,133361.0,-,1510976.0,0.0009
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NOVARTIS AG,-,NOVN,SW,,9532.0,-,1506782.0,0.0009
